category,text
entertainment,ocean s twelve raids box office ocean s twelve  the crime caper sequel starring george clooney  brad pitt and julia roberts  has gone straight to number one in the us box office chart.  it took $40.8m (£21m) in weekend ticket sales  according to studio estimates. the sequel follows the master criminals as they try to pull off three major heists across europe. it knocked last week s number one  national treasure  into third place. wesley snipes  blade: trinity was in second  taking $16.1m (£8.4m). rounding out the top five was animated fable the polar express  starring tom hanks  and festive comedy christmas with the kranks.  ocean s twelve box office triumph marks the fourth-biggest opening for a december release in the us  after the three films in the lord of the rings trilogy. the sequel narrowly beat its 2001 predecessor  ocean s eleven which took $38.1m (£19.8m) on its opening weekend and $184m (£95.8m) in total. a remake of the 1960s film  starring frank sinatra and the rat pack  ocean s eleven was directed by oscar-winning director steven soderbergh. soderbergh returns to direct the hit sequel which reunites clooney  pitt and roberts with matt damon  andy garcia and elliott gould. catherine zeta-jones joins the all-star cast.  it s just a fun  good holiday movie   said dan fellman  president of distribution at warner bros. however  us critics were less complimentary about the $110m (£57.2m) project  with the los angeles times labelling it a  dispiriting vanity project . a milder review in the new york times dubbed the sequel  unabashedly trivial .
entertainment,last star wars  not for children  the sixth and final star wars movie may not be suitable for young children  film-maker george lucas has said.  he told us tv show 60 minutes that revenge of the sith would be the darkest and most violent of the series.  i don t think i would take a five or six-year-old to this   he told the cbs programme  to be aired on sunday. lucas predicted the film would get a us rating advising parents some scenes may be unsuitable for under-13s. it opens in the uk and us on 19 may. he said he expected the film would be classified pg-13 - roughly equivalent to a british 12a rating.  the five previous star wars films have all carried less restrictive pg - parental guidance - ratings in the us. in the uk  they have all been passed u - suitable for all - with the exception of attack of the clones  which got a pg rating in 2002. revenge of the sith - the third prequel to the original 1977 star wars film - chronicles the transformation of the heroic anakin skywalker into the evil darth vader as he travels to a hell-like planet composed of erupting volcanoes and molten lava.  we re going to watch him make a pact with the devil   lucas said.  the film is much more dark  more emotional. it s much more of a tragedy.
entertainment,berlin cheers for anti-nazi film a german movie about an anti-nazi resistance heroine has drawn loud applause at berlin film festival.  sophie scholl - the final days portrays the final days of the member of the white rose movement. scholl  21  was arrested and beheaded with her brother  hans  in 1943 for distributing leaflets condemning the  abhorrent tyranny  of adolf hitler. director marc rothemund said:  i have a feeling of responsibility to keep the legacy of the scholls going.   we must somehow keep their ideas alive   he added.  the film drew on transcripts of gestapo interrogations and scholl s trial preserved in the archive of communist east germany s secret police. their discovery was the inspiration behind the film for rothemund  who worked closely with surviving relatives  including one of scholl s sisters  to ensure historical accuracy on the film. scholl and other members of the white rose resistance group first started distributing anti-nazi leaflets in the summer of 1942. they were arrested as they dropped leaflets at munich university calling for a  day of reckoning  with adolf hitler s regime. the film focuses on the six days from scholl s arrest to the intense trial which saw scholl initially deny the charges and ended with a defiant appearance. it is one of three german films vying for a top prize at the festival.  a south african film version of bizet s tragic opera carmen shot in cape town in the xhosa language has also premiered at the berlin festival. the film is entitled u-carmen ekhayelitsha or carmen in khayelitsha after the township in which the story is set. it is performed by a 40-strong music and theatre troupe in their debut film performance. the film is the first south african feature in 25 years and only the second to be nominated for a golden bear award.
entertainment,career honour for actor dicaprio actor leonardo dicaprio s  exceptional career  has been honoured at the santa barbara international film festival.  the star was presented with the award by martin scorsese  who directed him in oscar-nominated movie the aviator.  it s a lifetime achievement award  which is completely and utterly surreal  given i m only 30 years old   dicaprio said.  but what has it been  almost 17 years now. i ve done quite a few films.  a retrospective of his movies was shown.   what s really exciting  for me  is that this is what i really love doing   he added.  it s what i want to do for the rest of my life.  dicaprio began his movie career in horror film critters 3  before moving onto roles in the basketball diaries  romeo and juliet  titanic and gangs of new york. the achievement award was created to commemorate the california festival s 20th anniversary and coincided with dicaprio s portrayal of millionaire howard hughes in the aviator.  veteran actress jane russell  who starred in hughes  1943 film the outlaw  said was impressed by dicaprio s quest for authenticity when he previously discussed the role with her.  i was very happy that (dicaprio) came and cared to come up and find out what (hughes) was really like   she said. the aviator has taken pole position in this year s oscars race with 11 nominations  including nominations for best film  best actor for dicaprio and best director for scorsese.
entertainment,halloween writer debra hill dies screenwriter and producer debra hill  best known for her work on the 70s horror classic halloween  has died in los angeles aged 54.  hill  who had been suffering from cancer  co-wrote the 1978 film  which starred jamie lee curtis as a babysitter terrorised by a psychopath. directed by john carpenter  it made over $60m (£31.3m) worldwide - a record for independent film at that time. hill also worked with carpenter on escape from new york and the fog. born in new jersey  hill began her career as a production assistant and worked her way through the ranks  becoming an assistant director and second-unit director before she began collaborating with carpenter.  she was regarded by many as a pioneering woman in film  taking on jobs in the 70s that were more commonly taken by men.  back when i started in 1974  there were very few women in the industry   she said in 2003.  i was assumed to be the make-up and hair person  or the script person. i was never assumed to be the writer or producer.   i took a look around and realised there weren t that many women  so i had to carve a niche for myself.  carpenter said that working with hill was  one of the greatest experiences of my life .  the ground that she trailblazed in the beginning can now be followed by anyone. she was incredibly capable and talented   he said. carpenter and hill collaborated on a number of halloween sequels  including halloween ii  halloween: resurrection and halloween: the curse of michael myers.  later in her career  hill formed a production company with her friend lynda obst  making a string of hit films including oscar nominee the fisher king and teen comedy adventures in babysitting. other films included the stephen king adaptation the dead zone in 1983 and 1985 s clue  a comedy based on the board game cluedo. in the 90s she pursued work in tv  although she was reunited with carpenter in 1996 for escape from la  the sequel to escape from new york. at the time of her death she was working on a film about the last two men pulled from the rubble of the twin towers following the 11 september terror attacks in 2001. she was also co-producing the remake of the fog  which is due for release early next year.
entertainment,celebrities get their skates on former england footballer paul gascoigne will join eastenders  actress scarlett johnson on bbc one s strictly ice dancing.  the one-off christmas special will also star television presenter carol smillie and jessica taylor from liberty-x. each celebrity will be paired with a professional skater to impress a panel of judges and win the audience vote. the bbc is yet to confirm the final two stars who will battle it out to become ice king or queen.  veteran presenter bruce forsyth and tess daly will host the programme  which follows hot on the heels of the current saturday night series strictly come dancing. the celebrities will have to practise a stipulated ice dance and perform it at an ice rink with their partner. the judges will have 50% of the vote to decide who wins the contest  with the ice rink audience making up the rest of the vote. the show forms part of the bbc s festive schedule. ice skating duo jayne torvill and christopher dean are to front a similar celebrity ice dance show for itv  titled stars on thin ice. the contestants on stars on thin ice will each be paired up with a professional skater and will learn a new routine every week. at the end of the series  one celebrity will be crowned the winner.
entertainment,show over for mtv s the osbournes rock star ozzy osbourne has said his family will not make any more episodes of reality tv show the osbournes.   at the end of it i didn t like having cameras around the house all the time   the black sabbath singer told reporters at the mtv europe awards in rome. his wife sharon  who also appears in the popular mtv show based on the osbournes  family life  agreed.  now everybody s doing reality shows. he s done it  he s been there  he s got to do something else   she said.  ozzy osbourne said he had had enough of the work involved in making the series.  when you watch a 25-minute episode  i ve been filming all day   he said. sharon osbourne is currently appearing as a judge and mentor in itv1 talent show the x-factor alongside simon cowell and louis walsh.  earlier this year she topped a poll of the most important people in rock  for her part in guiding the career of husband ozzy and her family. she was the driving force behind the osbournes  which ran for three series  earning the family a reported $85m (£46m). the renewed popularity for ozzy has seen sales of his merchandise hit the $50m (£27.2m) mark  a record for a heavy metal artist. sales of t-shirts  accessories and action figures have rocketed since the osbournes hit screens. at its peak  the osbournes had a regular audience of eight million  with america s tv guide magazine describing the series as  a cross between the simpsons and this is spinal tap . osbourne himself was at a loss to explain its popularity:  i suppose americans get a kick out of watching a crazy brit family like us make complete fools of ourselves every week.
entertainment,row threatens hendrix museum plan proposals to open a museum dedicated to jimi hendrix are flailing because of a row over the home of his late father.  the run-down house in seattle has already been moved wholesale once and local authorities are now demanding it be moved to another site. hendrix supporters hoped to turn the home into a museum for the guitarist.  the mayor is going to go down as the mayor who destroyed jimi hendrix s house   said ray rae marshall of the james marshall hendrix foundation. the foundation moved the building  in which al hendrix lived between 1953 and 1956  when the land it was built on was to be developed for housing in 2002. now the city of seattle wants its new plot to be used for development  giving a deadline of 22 february for the home to be moved. mr goldman said the authority had promised the house could remain on its new site and be turned into a memorial and community centre. seattle officials said no such deal had been offered.   we never said   you can own this property    said john franklin  chief of its operations department.  from our perspective  it was a temporary situation. we have not threatened to demolish the house. we ve simply asked that they have to move it.  now mr goldman is calling for the authority to pay to move the building to seattle s central district  where hendrix grew up. janie hendrix  the guitarist s stepsister  said the family were still hoping the guitarist would be honoured by having a road named after him.  that s something my father really wanted to see   she said.  it would be nice if we didn t have to fight for everything to get it.  hendrix was widely considered one of the most important guitarists of his time. he died of drug overdose in 1970 at the age of 27.
entertainment,franz man seeks government help franz ferdinand frontman alex kapranos has called for more government help for musicians  while taking part in an edinburgh lectures discussion.   for any cultural output to thrive there needs to be some kind of state input to that as well   he said. but kapranos warned against musicians being too closely linked with mps  at the university of edinburgh event.  i think the role of musicians is to question politicians rather than to go to bed with them   he said.  kapranos joined the prestigious lecture series to discuss scotland s role in making 21st century music.  there are elements of our musical output which require sustenance because they aren t self-sufficient   he said.  but so-called commercial music would benefit from investment as well.  he warned musicians against being allied to a particular party  however.  i don t know if having tea with politicians is always a good idea.   kapranos and his glasgow four-piece band have been nominated for five prizes at next week s brit awards  including best group and best album. their self-titled debut album won last year s mercury music prize and spawned three top 20 singles. he told the 300-strong audience at the university s reid hall that musicians should listen to a wide range of music and should not be restricted by stereotypes.  we say  i like this . because i listen to nirvana and korn i am a troubled individual  i m riddled with angst because i listen to chopin and debussy  i listen to kylie minogue and scissor sisters because i m upbeat and i like to party  i listen to wagner because i like the smell of napalm in the morning.  kapranos said there was a general  hostility  towards classical music  adding:  there is very little done to break that hostility other than classic fm.   he concluded:  we define ourselves as a nation by the way we encourage our creativity.  fellow speaker and classical composer james macmillan agreed:  we need to rediscover our ability to listen.  previous speakers at the edinburgh lectures series have included former soviet leader mikhail gorbachev and author professor stephen hawking. kapranos described his appearance on wednesday as  more daunting by a long way  than their upcoming brits performance.  i don t really care about the brits   he said.  it s going to be great to go down but i have actually had to exercise part of my brain tonight.   i think the government should do more to help up-and-coming artists be discovered by scrapping the entertainment licences for live venues. also they should do more to help independent record labels have a louder voice within an industry dominated by commercialised major labels.  rather than expecting the government - i.e. the taxpayer - to fork out  why don t some of the megastars put something back in  some of britain s wealthiest people are musicians who have raked it in from albums  concerts etc. there are far more important demands on government funds.  if they can fund football  why not fund music   areas of the arts are funded by government and lottery grants  so why not music  we already have the opera receiving huge grants and it would clearly be beneficial for diversity in music to have the same opportunities in other areas of the music. the only problem would be how to judge what merits state cash.  the government has enough problems funding schools and health services. if alex kapranos genuinely thinks a multi-billion pound industry should also have government funding then his own education was seriously lacking and more money should be put into that.  as a scot living in england  i appreciate the value of scottish music and culture being a success  so i can see no problem with it! franz ferdinand  travis and snow patrol are just recent examples of the success scottish music can have in the world  so we should do what we scots are good at and support our own goods!  i think the issue is more fundamental: should the government be spending money on subsidising a multi-million pound industry when health and education are in such a sorry state  the answer is most definitely no. those people who are lucky enough to pursue their passion to get their pay cheque shouldn t be looking for government subsidies. i know that if i was lucky enough to be able to pursue my dream of show jumping i would want to finance myself until i was in a position to pursue corporate sponsorship.  yes the government should fund music - it brings joy to the masses.  there are already thousands of state-funded musicians out there sitting around  twiddling their thumbs on the  new deal . getting the government even more involved would only waste money that could be put to better use.  as long as the government was funding real talent it would be a great move. i would hate to see more pop idol-type funding of music though  as it would only serve to reinforce the stereotypes that alex talked about.  only if the proposals make financial sense. franz ferdinand must be paying serious amounts of tax on their record sales - if they d had a government grant to get started they d have more than paid it back by now  so the treasury would be making far more than it paid out. however  the government has better things to spend its money on than to give charity to everyone who decides they re a musician. the government shouldn t  fund  music - it should  invest  in music and those investments should be treated like any other investment.  i think the government needs to provide facilities and for young groups and bands to form and practise. the equipment is not cheap and can be well beyond the means of many people. however  i do feel this should be the extent of their role  to provide the conditions for the talent to flourish and let it go from there.  i do agree that the government should help to fund music but there is also a responsibility held by record companies! they generally always opt for the tried and tested and tend not to want to break any moulds or risk losing any money which ultimately  the directors are in the business for! if labels were more willing to put money forward towards smaller breakthrough acts then the government wouldn t have to fork out a great deal.  yeah  why not  music should be government funded  particularly the work of modern composers and veteran bands/artists and stuff. pop music pretty much rules the earth  so more attention should go to the other fraternities  i agree with funding the arts to make it more accessible to the public but i am not convinced that pop music requires financial support from the taxpayer. there is a great deal of money generated through pop music - perhaps a tax on pop could be ploughed into the public performance of other forms of music for everyone to enjoy. perhaps we could financially penalise really bad pop idol-style music - that is  the music industry sector without any artistic merit or originality whatsoever and that which is specifically designed to line the pockets of music producers. call it a tax on music  pollution   if you like.  though i really like franz ferdinand  i have to disagree with mr kapranos. once government gets their hand into the private sector  it will destroy the creative and possibly controversial avenues the artist pursues. many years ago  this was the case with the us nea  when the government started to question what was considered art for the money they were allotting. the solution mr kapranos should pursue would be privately-funded organizations  like save the music in the us.
entertainment,top of the pops leaves bbc one the bbc s flagship pop music programme top of the pops is to move from bbc one on fridays to sundays on bbc two.  the new programme will combine with archive show totp2  mixing new music with footage of classic bands. the corporation said the new show  aims to appeal to a diverse audience of music lovers . the move is the biggest shake-up in the history of the show  which was first broadcast in 1964 and has always been on bbc one. top of the pops was relaunched in a blaze of publicity in december last year in an attempt to reverse a long-term decline in audience figures.  the all new top of the pops was fronted by newcomer tim kash and was put together by producer andi peters  who was brought back to the bbc from channel 4 to revitalise the series.  about three million people a week were watching the show on fridays - less than half the total it was attracting in the mid-1990s - as the programme went up against popular itv soap coronation street. but despite the relaunch audience figures failed to rise and still remain around the three million mark. tim kash has since been replaced as host by fearne cotton. the new show will launch in spring next year in an extended format. bbc two controller roly keating:  it s an exciting new era for top of the pops. we want to make it bigger and better so that it becomes the ultimate pop music show for music lovers of every generation.  mr keating described bbc two as the  natural home  of top of the pops. he added:  the addition of top of the pops will also extend bbc two s offering to younger audiences.   a bbc spokeswoman said andi peters would continue as executive producer on the show. she said that issues over the exact format of the programme and a time slot were still to be decided. the programme will have a close relationship with the bbc radio 1 chart show  which suggests the relaunched show may be transmitted at about 1900 on sundays.  hopefully the audience for top of the pops will find it on bbc two.  we think that the new slot will create a buzz around the programme as for the first time viewers will discover the news of who is number one as it happens.
