title,url,text,published_date,categories
VP Sara Duterte Takes A Swipe At Her Dad’s Senatorial Line-Up And Close-ins!,https://adobochronicles.com/2025/03/10/vp-sara-duterte-takes-a-swipe-at-her-dads-senatorial-line-up-and-close-ins/,"Ah, the irony! VP Sara Duterte recently lamented Filipinos’ habit of electing actors, comedians, and entertainers—completely forgetting that her father’s political squad has more dance moves than legislative accomplishments. Netizens were quick to remind her of the TikTok-worthy performances of Robin Padilla, Bong Go, Bato dela Rosa, Phillip Salvador, and even the ever-animated Harry Roque. It’s almost like they auditioned for Dancing with the Stars but accidentally landed in the Senate. Who knew that the real qualification for public office wasn’t governance but a well-timed budots routine? And let’s not forget, her father himself won the presidency with his own brand of shock comedy. Maybe VP Sara just had a brief moment of amnesia—or selective memory loss. Either way, if singing and dancing are now disqualifications, the first ones out of office should be the very people she campaigned with. Showtime, indeed!",2025-03-10T18:30:45-07:00,"Entertainment, Politics, Social Media"
Diwata: The Thorn Among The Roses Of Panagbenga,https://adobochronicles.com/2025/02/26/diwata-the-thorn-among-the-roses-of-panagbenga/,"Ah, Panagbenga—the grand floral spectacle of Baguio, where the streets bloom with petals, and the air is filled with the scent of celebration. But wait, what’s that rolling down Session Road? A majestic float, adorned not just with flowers but with the unmissable, larger-than-life presence of Diwata of Diwata Pares Overload. Because why settle for a food stall when you can have a full-blown parade float, right? Diwata, now a nominee for the Vendor’s Partylist, clearly missed the memo that politics is a no-go at Panagbenga. But hey, when you’re chasing celebrity status, what’s a little rule-breaking? His float might as well have been a campaign billboard on wheels. Was he aiming to be the thorn among the roses? If so, mission accomplished. And then there was his side gig—Diwata, in full Cordilleran attire, screaming at fans in a manner best described as “gorilla chic.” Was he channeling his inner warrior or simply trying to outdo the local howler monkeys? Either way, the indigenous people deserved better than this cosplay catastrophe. Perhaps it’s time for Diwata to invest in a personal protocol officer—or at least a friend who can whisper, “Hoy, nakakahiya na!”",2025-02-26T18:53:26-08:00,"Entertainment, Festivals, Food, Politics, Social Media"
Vice Ganda’s Larger-Than-Life Wardrobe,https://adobochronicles.com/2025/01/18/vice-gandas-larger-that-life-wardrobe/,"Mirror, mirror on the wall, who’s the fiercest of them all? Vice Ganda, of course! Known for his knack for transforming the ordinary into the outrageously extraordinary, Vice’s wardrobe is less about fashion and more about performance art. Whether draped in feathers larger than life or donning an outfit that could double as a UFO landing pad, Vice doesn’t just dress to impress—he dresses to dominate. Why settle for subtlety when you can wear a chandelier on your head? While his co-hosts try to steal moments of glory, Vice, in his sequined capes and metallic bodysuits, hogs the spotlight with such audacity that even the contestants, co-hosts and fellow actors are left wondering if they’re the side act. It’s not just attention he’s after; it’s the center of the universe. With every outfit screaming, “I woke up like this—fabulous!” Vice proves that normal is overrated and extra is everything.",2025-01-18T15:14:41-08:00,"Entertainment, Fashion, Film and TV, Social Media"
"Exclusive: Vic Sotto, Darryl Yap Kiss And Make Up!",https://adobochronicles.com/2025/01/10/exclusive-vic-sotto-darryl-yap-kiss-and-make-up/,"By The Adobo Chronicles In an unprecedented Adobo Chronicles exclusive, we sat down with comedy legend Vic Sotto and controversial director Darryl Yap to discuss the much-hyped lawsuit filed by Sotto over Yap’s new film, “The Rapists of Pepsi Paloma.” The movie’s trailer, deemed “libelous” by Sotto, had ignited a media frenzy and charges filed. “Ito kasi, Vic,” Yap began, his trademark smirk in full force. “Art imitates life. The film is a nuanced exploration of—” “Nuanced?! Nuanced ba ’yung mukha kong ginawa mong kontrabida sa trailer? Parang pinulot ako sa tambakan ng basura!” Sotto retorted, his comedic timing still intact. “Vic, it’s all creative license! Di mo ba gets? ‘The Rapists’ is a metaphor! Kumbaga, it’s a… what’s the word? Parody!” Yap shot back, air-quoting furiously. “Ah, parody pala ha? Eh parang di naman nagjo-joke yung abogado ko,” Sotto quipped, producing a folder marked Cease and Desist. After hours of heated exchange, the pair surprised everyone by bursting into laughter. “Panoorin mo na lang yung buong pelikula, Vic,” Yap offered. “Sige, Darryl, basta libre tickets ah,” Sotto replied, extending a handshake. They ended the interview with a hug and a photo-op, leaving everyone confused about whether the lawsuit or the movie was the real comedy. Was it all a show?",2025-01-10T16:14:21-08:00,"Entertainment, Film and TV, Law Enforcement, Social Media, The Media"
Fact-Checking “Investigative Writer” Raissa Robles,https://adobochronicles.com/2025/01/02/fact-checking-investigative-writer-raissa-robles/,"Raissa Robles, self-proclaimed investigative writer and proud author of one book, recently donned her internet sleuth hat to criticize the girl group Phantom Siita, claiming they were “Filipinos trying to look like Koreans.” The irony? Phantom Siita isn’t Filipino or Korean—the group is Japanese! Yes, Japanese, as in sushi, not kimchi or adobo. One can only wonder if Robles’ investigative skills stopped short of typing “Phantom Siita nationality” into Google. Or perhaps she was too busy plotting her next groundbreaking exposé: “Filipinos Trying to Be Swiss While Eating Toblerone.” This mishap is a gentle reminder that a writer’s most powerful tool is research—preferably done before hitting “post.” If Robles wants to critique cultural appropriation, she might first need a crash course in geography and modern pop culture. Phantom Siita, meanwhile, continues to slay stages, blissfully unbothered.",2025-01-02T03:14:44-08:00,"Entertainment, Fact Check, Music, Social Media"
Today’s Photo Meme,https://adobochronicles.com/2024/12/15/todays-photo-meme-15/,(concept and layout by Epee Rafanan),2024-12-15T03:19:10-08:00,"Entertainment, Politics, Social Media"
Luis Manzano As Carlos Yulo?,https://adobochronicles.com/2024/09/03/luis-manzano-as-carlos-yulo/,"In a move that’s sure to raise eyebrows and possibly some high-flying flips, Carlos Yulo reportedly wants Luis Manzano, an actor known more for his witty banter than athletic prowess, to portray him in a biopic. Never mind that Manzano stands a foot taller and has a physique better suited for action flicks than a pommel horse. The real question is, will Manzano have to train in gymnastics to accurately portray Yulo? Perhaps he’ll channel his inner Simone Biles, or maybe Yulo will be his own stunt double—though the sight of Manzano gracefully sticking a landing with Yulo’s much smaller frame would be a cinematic miracle. Of course, there’s always the option of CGI or, better yet, letting Artificial Intelligence do the heavy lifting. In any case, we’re in for either a laugh or an Olympic-level performance, albeit one where the judges might need corrective lenses. Lastly, will Vilma Santos, the real-life mother of Luis, play Yulo’s mom, Angelica, in the biopic?",2024-09-03T14:41:58-07:00,"Entertainment, Social Media, Sports"
Viral Frenchman: Pole Or Porn?,https://adobochronicles.com/2024/08/06/viral-frenchman-pole-or-porn/,"In a twist befitting modern times, French pole vaulter Anthony Ammirati faces an unusual crossroads: should he continue to vault towards Olympic glory or embrace the lucrative world of adult entertainment? After an unexpected “reveal” during his latest Olympic attempt, a prominent porn site swooped in with a tantalizing $250K offer for Dupont to showcase his… assets. While millions enjoyed the unintentional peek for free, paying viewers might soon have to open their wallets to see the real thing. Critics argue this move could tarnish his athletic reputation, but let’s face it—pole vaulters aren’t exactly household names. Besides, how many medals can one buy with $250K? Ammirati’s dilemma is a true test of where the real value lies: in gold medals or golden opportunities. As fans eagerly await his decision, one thing is clear: the lines between sports and entertainment have never been blurrier.",2024-08-06T14:09:01-07:00,"Entertainment, Film and TV, Social Media, Sports"
A New Hot Spot Awaits You In Baguio,https://adobochronicles.com/2024/07/27/a-new-hot-spot-awaits-you-in-baguio/,"Welcome to Baguio’s latest attraction: The Guzzle and Gobble Paradise! Feast on mystery meat delicacies and guzzle bottomless “fruit” cocktails. But temper your expectations — those video monitors? They play nothing but wholesome music videos. No x-rated films here, just the soothing tunes of yesteryears. And a word of caution: read the marquee carefully. It’s not a “house of ill repute,” it’s a house of all you can eat! Join us for an evening of mild entertainment and culinary surprises, where the only thing scandalous is the ketchup-to-mayo ratio on your fries.",2024-07-27T14:05:41-07:00,"Entertainment, Food, Social Media, Tourism, Travel"
Sara Duterte Does A BINI,https://adobochronicles.com/2024/07/24/sara-duterte-does-a-bini/,"In a dramatic twist of fate, the girl group BINI found themselves under fire for obscuring their faces upon arriving at a local airport. Leading the charge was OVP worker and blogger Tio Moreno, whose relentless tirades painted the girls as villains in the latest airport drama. Ironically, his boss VP Sara Duterte pulled a BINI herself when she jetted off to Germany amidst the chaos of Typhoon Carina. Caught on camera, Duterte sported a face mask and a hooded sweater, missing only the “S” emblazoned on her chest – “S” for “Shukran!” Was it a fashion statement, or a desperate attempt to blend in with the crowd? As the nation recovers from the storm, we can only wonder if VP Sara will return donning a new persona, or if Tio Moreno will start his own line of face-obscuring gear. Either way, it seems the art of hiding one’s face is trending this season!",2024-07-24T16:18:37-07:00,"Entertainment, Government, Politics, Social Media, Travel"
“It’s Showtime”Hosts Going Their Separate Ways!,https://adobochronicles.com/2024/07/23/its-showtimehosts-going-their-separate-ways/,"In a shocking twist that rocked the entertainment world, the iconic trio of “It’s Showtime” hosts has seemingly gone their separate ways, each pledging allegiance to rival fast-food chains. The once inseparable Anne Curtis, Vice Ganda, and Kim Chiu have now become culinary combatants in a bizarre battle of chicken and buns. Anne, draped in Jollibee’s signature red, passionately promotes Chickenjoy with the fervor of a starlet defending her Best Actress crown. Vice Ganda, not to be outdone, flaunts golden arches in every Instagram post, sparking rumors of a Big Mac tattoo. Meanwhile, Kim Chiu’s newfound love for ChowKing has her fans pondering if dim sum diplomacy can mend broken bonds. As hashtags like #FriendshipOverFries trend, fans are left to wonder: Is this the end of an era? Or just another chapter in the saga of showbiz where friendships end where cash registers begin?",2024-07-23T08:55:21-07:00,"Entertainment, Food, Social Media"
What’s In A Military Uniform?,https://adobochronicles.com/2024/07/16/whats-in-a-military-uniform/,"What’s in a military uniform, you ask? In the age of honorary titles and political theatrics, quite a lot, apparently. Take First Lady Liza Marcos, recently designated as an honorary Auxiliary Vice Admiral with the Philippine Coast Guard. “Honorary” is the operative word here—an accolade that stirs the pot of public opinion. Critics rage that real service members earn their uniforms through blood, sweat, and sacrifice, while others wear them with less noble intentions, betraying their oaths. Then there are those who join the reserves, either through rigorous training or, let’s be honest, a few well-placed political connections. And who can forget the actors donning military garb for the sake of entertainment? In the end, a uniform is merely fabric and stitching. What truly matters is the person behind it—their loyalty, conviction, and the integrity they bring to the role, honorary or otherwise. But hey, let’s not let that spoil a good show.",2024-07-16T15:45:25-07:00,"Entertainment, Military, Politics, Social Media"
