title,url,text,published_date,categories
"Senator Bato, Be A Man And Apologize!",https://adobochronicles.com/2025/02/08/senator-bato-be-a-man-and-apologize/,"Senator Bato dela Rosa, the ever-reliable defender of discipline and decorum (when convenient), has once again graced us with his brand of leadership—this time, by mocking someone’s post-stroke condition. Perhaps he mistook a medical reality for a punchline, or maybe the years of dodging accountability have dulled his sense of basic decency. Either way, his remarks against Akbayan Representative Perci Cendana weren’t just a cheap shot at one person but an insult to every stroke survivor who has fought to regain dignity and normalcy. An apology isn’t just warranted—it’s the bare minimum. Senator Bato, with all his tough-guy rhetoric, should find it in himself to do what real men do: own up to his mistake. Unless, of course, he believes that cruelty is a mark of strength. If so, maybe he should spend less time making jokes and more time reflecting on why the joke is now on him.",2025-02-08T03:08:20-08:00,"Health & Medicine, Politics, Social Media"
Pro-Duterte Camp Crosses The Line?,https://adobochronicles.com/2025/02/09/pro-duterte-camp-crosses-the-line/,"Ah, the fine art of statesmanship in the Philippines—where our esteemed leaders, instead of engaging in meaningful debate, now resort to slapping threats and medical condition mockery. Truly, a masterclass in parliamentary decorum! Senator Bato dela Rosa clearly inspired by the highest principles of governance, has decided that the best way to prove a point is through a slap, because why use logic when you have the sheer force of your palm? And as if that weren’t enough, the latest stroke (pun intended) of genius from the pro-Duterte camp is hijacking the acronym AIDS—an illness that has caused immense suffering worldwide—just to score political points. Brilliant. What’s next? A rebranding of cancer to mean “Critics Against the Regime”? At this rate, satire will become obsolete because reality itself is doing the job. Shamelessness isn’t just a trait anymore; it’s an entire political platform. Bravo!",2025-02-09T04:51:10-08:00,"Health & Medicine, Politics, Social Media"
Wanted Dead Or Alive: Dengue-Carrying Mosquitoes!,https://adobochronicles.com/2025/02/17/wanted-dead-or-alive-dengue-carrying-mosquitoes/,"by Melchor Vergara, AC team member Ah, the Barangay—the pinnacle of Filipino ingenuity! Where else can you find government programs that mix public service with a game show-like twist? Enter Mandaluyong’s “May Piso sa Mosquito” campaign, where citizens are rewarded for capturing Dengue-carrying mosquitoes. A noble cause, but one that immediately raises some hard-hitting investigative questions. First, how exactly will Barangay officials confirm a mosquito is a Dengue carrier? Will there be a rapid test kit for bloodsucking insects? A mosquito interrogation chamber? Second, what if the mosquito was smuggled in from another Barangay? Will we see an underground mosquito trafficking ring? Third, are all mosquitoes eligible—dead or alive? Because if so, expect an army of entrepreneurs reviving the dried-up mosquitoes from their electric zappers. At this rate, Barangays may soon reward citizens for catching potholes, loose electrical wires, and uncollected garbage. Who needs taxes when you can crowdsource governance one peso at a time?",2025-02-17T02:16:09-08:00,"Health & Medicine, Local News, Social Media"
Dr. Leachon’s Warning About Lechon Melts In Its Own Cholesterol,https://adobochronicles.com/2024/12/23/dr-leachons-warning-about-lechon-melts-in-its-own-cholesterol/,"Dr. Tony Leachon, the self-proclaimed guardian of Filipino health, seems to have taken a comedic detour from medical wisdom to misinformation central. His latest crusade? Declaring war on lechon, the star of every Filipino noche buena. According to the good doctor, a slice of crispy pork belly is a one-way ticket to a PhilHealth-less future. It’s a bold statement, considering most Filipinos would probably trade a lifetime of health coverage for one bite of perfectly roasted skin. But Dr. Leachon didn’t stop there—he also found himself lost in translation regarding an Iglesia Ni Cristo rally, hilariously misinterpreting its purpose. Imagine promoting a religious event like it’s a cholesterol-awareness campaign! Maybe he thought they were gathering to fast for health reform? While his passion for health is admirable, his penchant for drama and confusion has turned him into a sitcom character. Someone give this man a reality check—or a slice of lechon.",2024-12-23T12:55:59-08:00,"Finance, Health & Medicine, Social Media"
VP Sara Should Challenge Dad To Undergo Fentanyl Overdose Test!,https://adobochronicles.com/2024/10/31/vp-sara-should-challenge-dad-to-undergo-fentanyl-overdose-test/,"Ah, the VP’s grand hair follicle test challenge—a bold new way to display “leadership” in the 2025 elections! It’s like a plot twist straight out of a reality TV show: Survivor: Drug Test Edition. One wonders if she’s aware that the real intrigue here isn’t which candidate has the cleanest follicles, but rather, who’s daring enough to call her bluff. To those who say VP Sara’s enthusiasm for these follicular deep dives would be more convincing if she herself underwent a drug and psychiatric test, I say—perhaps her father could join in on the fun! Imagine it: Rodrigo Duterte, the comeback king of Davao City politics, throwing his hat (and follicles) into the ring. After all, given his own history of fentanyl use, shouldn’t he lead by example? Just to make sure that he’s, you know, fully in control and free from any, shall we say, extra help? (Fentanyl is 50x more potent than heroin and when misused the consequences can be fatal.) Ultimately, it’s quite the hair-raising affair. But will it give voters the insight they truly need, or merely add to the circus? Because, as with most things in Philippine politics, the test of genuine integrity still seems worlds away.",2024-10-31T17:06:31-07:00,"Health & Medicine, Politics, Social Media"
Yes To Senator Bato’s Question On Drug Testing For Bald Persons,https://adobochronicles.com/2024/09/16/yes-to-senator-batos-question-on-drug-testing-for-bald-persons/,"Senator Ronald “Bato” dela Rosa’s recent query about whether bald men like himself can undergo hair follicle drug tests had the Senate floor and the Internet world buzzing with laughter. Imagine the disbelief on Bato’s face when drug labs confirm that, yes, even those with shiny domes can be tested—just not from the head. Apparently, body hair, whether it’s from arms, legs, or other areas (ahem), is just as reliable for testing. You could almost see Bato picturing the lab techs awkwardly plucking chest hairs. Bald men everywhere now breathe a collective sigh of relief or disappointment as the case may be, knowing their lack of locks won’t exempt them from scrutiny. So, dear senators, don’t think you’re off the hook just because you’re follicly challenged! In the battle against drugs, even body hair has your back—or, in this case, your chest! Check this out, dear readers: https://blog.cansfordlabs.co.uk/bald-as-a-coot-you-can-still-be-hair-tested.-heres-why",2024-09-16T13:11:39-07:00,"Fact Check, Health & Medicine, Law Enforcement, Legislation, Social Media, Technology"
Davao Mayor Basté Duterte Barks At The Wrong Tree.,https://adobochronicles.com/2024/06/17/davao-mayor-baste-duterte-barks-at-the-wrong-tree/,"In a stunning display of political ineptitude, Davao City Mayor Basté Duterte has managed to bite the very hand that feeds his political fortunes by attacking Senator Bong Go, his father’s most-trusted ally. Fresh from delivering perplexing orations at the Maisug rallies, Basté decided to channel his inner Don Quixote at the Angeles City rally, tilting at the very windmills that built his family’s political empire. It’s almost endearing, watching Basté flail aimlessly at an underdog beloved for his Malasakit Centers—a lifeline for countless Filipinos. But alas, our dear mayor seems to have mistaken the political arena for a sandbox squabble. If only he could redirect his energy toward meaningful issues, assuming he can find one that doesn’t involve shooting himself in the foot. Maybe next time, Basté, try attacking a real problem, not the allies shoring up your shaky pedestal.",2024-06-17T15:05:29-07:00,"Health & Medicine, Politics, Social Media"
A U.S. Operation Worth Philippine Congress Investigation,https://adobochronicles.com/2024/06/15/a-u-s-operation-worth-philippine-congress-investigation/,"Why should Philippine Congress waste its time on trivial matters like the PDEA leaks or the citizenship of a Tarlac mayor when there’s real international intrigue afoot? Instead of these futile hearings, Congress should turn its attention to the recent revelation about the Trump-era Pentagon’s clandestine operation to spread anti-vaccine sentiments in the Philippines. According to credible sources, a secretive campaign aimed to harm Chinese interests has specifically focused on the Philippines. Could this have cost thousands of Filipino lives during the Covid-19 pandemic? Now, wouldn’t it be more productive to investigate what could be considered a crime against humanity? Perhaps Congress should put aside its local squabbles and address issues with actual global impact. After all, determining the real damage caused by this operation might actually save lives in the future. So, Congress, how about focusing on something that really matters for a change?",2024-06-15T02:54:02-07:00,"Health & Medicine, International, Race Relations, The Media"
The “Ethics” Of Dr. Ethel Pineda,https://adobochronicles.com/2024/07/20/the-ethics-of-dr-ethel-pineda/,"Ah, the revered medical community, paragons of professionalism and ethics, save for the occasional Dr. Ethel Pineda. In a stunning display of dedication, she has morphed into a master of manufactured intrigue, conjuring health crises where none exist. The audacity to question President Bongbong Marcos’ well-being—citing some archaic legal provision—is comedy gold. Unlike her idol Duterte, who vanished from the public eye with Houdini-like flair, Marcos remains a visible and vibrant leader. Yet, Pineda’s political machinations masquerade as medical and legal concerns. One might suggest she choose between her Hippocratic Oath and her political fervor, but alas, such a duality seems beyond her grasp. Instead, she tramples on principles of privacy and confidentiality, desperately seeking a scandal. For someone entrusted with the sanctity of medical ethics, Pineda has become an exemplar of how not to blend politics with profession, ensuring laughter at her expense and disbelief in her intentions. ( Melchor Vergara) contributed to this report.",2024-07-20T02:17:06-07:00,"Health & Medicine, Politics, Social Media"
Should U.K. Conservatives Rethink Policies On Compulsory Military Training And Marijuana?,https://adobochronicles.com/2024/05/29/should-u-k-conseratives-rethink-policies-on-compulsory-military-training-and-marijuana/,"( Brian Neyra contributed to this report) The Conservative proposal for compulsory military training or community service faces significant opposition from young people, posing a potential hurdle in the upcoming U.K. elections. A recent survey shows that 73% of students feel their views are undervalued by politicians, and with 89% registered to vote and 87% intending to do so, their discontent could critically impact election outcomes. To address this, the Conservatives might consider more progressive policies, such as the legalization of recreational marijuana. While medicinal marijuana has been legal since 2018, the U.K. lags behind many regions that have embraced broader legalization. Adopting such a policy could resonate with younger voters and mitigate the backlash against compulsory service. The issue underscores the importance of engaging with and valuing the perspectives of the younger electorate, whose priorities could significantly shape the political landscape.",2024-05-29T18:24:48-07:00,"Government, Health & Medicine, Legislation, Politics"
