title,content,thumb_title,page_number
SPLASHDOWN: Dolphins Greet Stranded Astronauts As SpaceX Brings Them Home Again,"A Corporate Government partnership left them stranded in space… a scrappy startup brought them home again.
In a moment where so much of our attention is spent at tearing each other’s throats out over politics, here’s a moment were we can appreciate the safe return — from the hostile environment of space — some astronauts whose original ride was giving them them some serious trouble.
It FEELS like we’re celebrating an event. And we are. But at the heart of that story are a couple of real people, who were facing an uncertain fate. 
Welcome home Suni and Butch! 
Thank you Space X, NASA, and Elon Musk! 
— Mr. Nasty Tesla (@TeslaQuirk) 
 
People who were a long way from home and completely out of the reach of any medical care. We were receiving conflicting reports on just how big a toll being in space was having on their bodies — reports range from tolerable risk to life-threatening.
Welcome home to Terra Firma!
The Boeing/NASA rocket that first brought them to space was fraught with technical glitches. There were concerns about whether it could take them home safely again. In hindsight, they could have survived the trip, but when you’re gambling with human lives, there’s a kind of maybe that pushes us just a little too far.
The White House posted it on social media as a promise kept:
PROMISE MADE, PROMISE KEPT: President Trump pledged to rescue the astronauts stranded in space for nine months. 
Today, they safely splashed down in the Gulf of America, thanks to 
, 
, and 
! 
— The White House (@WhiteHouse) 
 
And did you notice that the video (courtesy NASA, possibly?) described the splashdown in the Gulf Of America. 
NASA posted footage with a surprise appearance of a pod of dolphins:
The unplanned welcome crew!
Crew-9 had some surprise visitors after splashing down this afternoon.🐬 
— NASA's Johnson Space Center (@NASA_Johnson) 
 
As a kid who just barely missed the Space Race — and who watched the rise and fall of the Shuttle program — I have to admit to having a soft spot in my heart for stories like this one.
Especially when we hear former astronauts saying that Elon’s little company that could may have just saved the US space program.
Former NASA astronaut Charles Camarda just gave HUGE props to Elon Musk for what he's done in the space industry:
""Elon Musk saved the U.S. space program.""
""If it weren't for Elon Musk, we would not be able to fly U.S. Astronauts from U.S. soil to the International Space… 
— Gunther Eagleman™ (@GuntherEagleman) 
 
Kinda of a big deal, no?
But go ahead leftists. Go and rage at the man because you don’t like his politics.
We already assume you hate the GOP more than you love your country.
All you are accomplishing is proving us right.",,1
YIKES: PressSec Numbers Put NeverTrump Lawfare Into STUNNING Historical Context,"Karoline Leavitt put on a master class: she just beautifully reframed the key issue of the day, bringing it up to the 30,000 foot view. Instead of getting lost in the daily grind of bad news, she sets it in historical context.
Suddenly the drip-drip-drip of Bad Orange Man news looks completely different when we see it compared against the shockingly few times judges have made similar rulings to kneecap the efforts of prior administrations.
.
: “67% of the injunctions by partisan activists in the Judicial Branch have come against President Donald Trump, and 92% of those have been from Democrat-appointed judges. This is a clear, concerted effort by leftists who don’t like this president and are trying to slow… 
— Rapid Response 47 (@RapidResponse47) 
When you realize that if we count back a century ago, we’re talking about the days since Calvin Coolidge was president without a Veep… BEFORE the 1929 collapse of Wall Street, the Great Depression, or World War II. That’s counting back to the time when Lenin was still the head of the Soviet Union… and even with THAT timeline, almost 60% of the rulings have been made against ONE president?
We are left with only two conclusions: one, that Trump is so off-the-rails contrary to proper use of his powers as expressly spelled out within the four corners of the Constitution — OR — that We The People are the target of a coordinated effort on the part of the Status Quo elite power brokers to stop Trump and his appointees from doing the very thing he was sent there to do: to reign in an obscene litany of abuses involving the abuse of various powers whose point of origin all lead back to Washington DC.
Not a tough call to make for any of us who haven’t been sleepwalking through the last 20 years.
Are we REALLY supposed to believe the people who told us that Russiagate was real, that Hunter’s laptop was not, that Trump was losing his mental faculties during COVID, but Joe Biden was ‘sharp as a tack’, that the Jab works but naturally immunity does not, that the lab leak theory was a ‘hoax’, that the ‘border was secure’ under Kamala, but that the GOP posed threats to national security is suddenly telling us the truth NOW?
Call it ‘drain the swamp’, or ‘bringing accountability’, ‘MAGA’, or even going back to the Constitution… under any name you give it, the conflict is pretty simple. The reason the left is pushing anti-Trump lawfare stories so hard is patently obvious: the MAGA agenda is a threat to the establishment’s power bases. All of them.
They didn’t have the integrity to return the billions stolen by Sam Bankman-Fried and donated to Democrat causes — because doing so would hurt their chances of holding and gaining power in the future.
For the very same reason, they don’t have the integrity to let these various steps of accountability proceed normally… it’s a question of power and who gets to wield it.",,1
AUTOPEN: Could This Be A Critical Clue In Their Plot To Hide The Decline?,"Naturally DC is buzzing. How could it not be with Trump declaring many of Biden’s pardons Constitutionally invalid because they were signed with an autopen? But that part of the story just scratches the surface.
They protected Joe from public appearances, they rigged the game in press conferences, and limited direct access to the President himself… but if they were going to keep his decline a secret, there was still one glaring problem staring everyone in the face that they absolutely HAD to solve.
Let’s return to the beginning, before Joe became the presidential candidate.
Questions about Joe being corrupt and compromised were already part of the conversation. Authors had written books about it. Joe was caught red-handed — in his own voice — holding up a billion dollars in Ukrainian aid unless he got what he wanted, which just so happened to be exactly what his son’s benefactor Burisma ALSO wanted.
But that ‘perfect phone call’ where Trump put a pause on Ukraine funding for 30 days? The pause that let him verify that money was going where it was supposed to in one of the world’s most corrupt countries? That was ‘impeachable’.
The web of Biden lies has been laying in plain sight for so long, it’s easy to forget the strands from which its woven.
We have long since taken for granted that Hunter’s incriminating laptop was ‘forgotten’ at a repair shop while Feds were already investigating some of shady business associates at the very moment his father was launching a presidential bid was just an astonishing coincidence. Do NOT call it a sloppy attempt at destroying evidence in a way that results in plausible deniability until it ran into a legally blind repairman who chose NOT to wipe the contents and resell the hardware.
Heavens, no. Not that.
And let’s not look too carefully into any lingering questions about what in the HELL was going on with that creepy as all get-out sound-stage replica of the White House.
 
This one: 
It was complete with a green-screen window loaded with *whoops* a scene from the wrong time of year.. Details matter.
Even leaving all of that aside, we’ve got an exchange between Keith Ablow (Hunter Biden’s shrink) and Hunter Biden in January of 2019 discussing dear old dad’s … wait for it… dementia. This was BEFORE he launched his presidential campaign.
Pages 143-144 Texts between Hunter Biden and Dr. Keith Ablow, from Hunter’s now confirmed to be authentic laptop, in January of 2019, MONTHS before Joe announced he was going to run in 2020, seemingly confirm his dementia. 
 WHO WAS RUNNING THE COUNTRY for 4 years? 
— 🔴 P𝕠𝐔𝔫Ⓒ𝓔г (@bloodless_coup) 
The dementia was known, at least by the inner circle, very early in the game.
We will pick up the data point of the signature on Hunter Biden’s pardon. We have, at this point, no reason to doubt the authenticity of the signature on Hunter’s pardon. Barring any reason other than the autopen question that its validity would be challenged, that pardon is likely to stand, even if others are successfully negated.
Look carefully at the difference between the two signatures, not just the style, but their quality.
By definition, dementia, in any of its forms, is a progressive disease. One of the ways that progress manifests itself is in a visible deterioration of handwriting quality. Notice how he struggled to write the ‘B’ in his own signature, and how different the faltering childlike letters are from the stylized signature captured by the autopen at some undetermined time beforehand.
Now that Biden’s political capital is spent, rival factions can speak freely about things that could not be said while he was in office. Even Jake Tapper, who once defended Joe Biden’s mental state has since written a book exposing just how far gone his decline really was.
It was the worst-kept secret in Washington. But it was still closely guarded until the very minute last June when Joe Biden’s chance of beating Trump was proven to be zero. After rigging the game in Joe’s favor, they rigged it again in Kamala’s. (All in the name of ‘defending Democracy’, of course!)
Anyone who dared tell the truth (before the truth was allowed to be spoken) took a beating over it. Just days before the wheels fell of of Biden’s campaign bus, media types were still trying to gaslight us with words like ‘cheap fakes’.
There’s an upper limit on what they could do to control the mental fitness narrative.
They can control access to him, and hide that. They can limit his speech, and hide that symptom. But some things are hard to fake.
Like when one of the most important and public parts of your job involves signing documents into law. Eventually, someone will look closely at that signature… 
 if there is reason to believe he’s mentally impaired.
Four years is a long time for a symptom like dysgraphia to progress in its decline. Unlike some of the other things that can be controlled for or coached, handwriting really cannot be faked.
That’s why people like yours truly wanted to see Joe Biden draw a clock. Not that we WANTED a Kamala Presidency, we just didn’t think that Joe was really running the show any more than President Wilson was after his stroke.
JOETUS was little more than a blank canvas that political operatives could fill with whatever they wished. He was an empty figurehead. POTUS in name only.
Having watched the lengths these deep-state clowns are willing to go to deceive us, it would be one HUNDRED percent on-brand if that now-infamous Autopen was introduced for the 
 purpose of disguising the impairment in Joe Biden’s handwriting so that we would not have an excuse to force a cognitive test that could result in Dems having to invoke the 25th Amendment.
Invoking the 25th so late in the game would raise far to many of the awkward ‘what did you know and when did you know it’ questions, giving the GOP a chance at power.
And POWER was the one thing these Dems truly care about.
Isn’t it funny that this same autopen could be the one thing that foils their perfect plan?
What’s that old familiar line?

“We could have gotten away with it too… if it weren’t for you meddling kids.”
That sounds about right.

And now, the show is over and the mask comes off.",,1
DOCE: The Department of Church Efficiency,"I love beholding Trump and Elon’s DOGE department waylay ridiculous programs and people. It gives me the warm and fuzzies to watch the wankers on the Left caterwaul when Musk nukes their multimillion-dollar grifts. It’s a simple pleasure, fo’ sho’. That said, and in keeping with the spirit of cleaning house, I think Christians should crank up a similar axe-wielding office called DOCE, The Department of Church Efficiency. Herewith are a few things I believe should go into the ecclesiastical wood-chipper.
This list is obviously incomplete. What else would you add to it to shore up the Body of Christ? Enjoy and share.
The PERFECT Gift For The Art Loving Warrior
Dear Fellow Warriors: My new book just dropped, 
. It’s a full color coffee table compilation of my biblical paintings over the last 20yrs. As you know, I don’t depict the biblical men in this book as sweet bearded women but rough troublemakers who shook all of hell’s habitations. It’s a great gift for the male and female scrappy warriors on your Christmas list. Young kids will love it too. 70+ original paintings. 234 pages with the scriptural inspiration behind each painting. It’s a beautiful book.
RECOMMENDATIONS. “One reason I buy Doug’s priceless art is to make bold statements on the walls of my home. Lively discussions come alive to bring home the Gospel messages behind the brushstrokes gifted to Mr. Giles. Pastor Doug’s creativity in canvassing the Biblical perspective is daring and courageous.”

– Captain Robert Reinecker
For bulk purchases (More than 5 copies) we’re offering 50% off list price of $69.95 if you purchase directly from the publisher. Email Skip Coryell at skipcoryell@hotmail.com for this offer.",,1
LIZZO V. DISNEY: How One Learned From Past Mistakes And The Other Never Will,"If woke culture offers judgment without redemption, it’s almost an act of rebellion to cheer on an icon from the ‘other side’ when they learn from a mistake and get something right.
Two stories this weekend offer an opportunity for the political right to better navigate that difficult path of holding moral principles while also leaving an invitation to the path of redemption.
With Disney and Lizzo, we see two very vocal and bellicose icons of movements on the political left, not merely believing toxic ideas, but proudly and loudly insisting others should share in embracing them… to the point of being hostile to anyone who did not bend the knee to their worldview.
News from this weekend gives us an opportunity to revisit that fork in the road, and see how those choices have played out.
For decades, now, the soulless husk of the grand vision of its namesake has been looking for every opportunity to not only abandon the family-friendly values of its progenitor, but to declare war upon them.
Here’s a quote from an LGBT source in early 2024 cheering Disney’s announcement to double down on the woke agenda (in this case, the LGBT flavor of it) rather than responding to parental petitions to leave the gender questions out of the kids shows.
Disney CEO Bob Chapek when intervened by LGBTQ+ activist said that the company will focus on increasing LGBTQ characters and stories.

Chapek said that Disney strongly believes in reflecting the creative content to the majority of audience and that they will have an increased commitment to move forward with the implementation of LGBT in their characters and stories. He said, “We want to tell stories that our audience wants to hear, that reflects their lives.” (
, March 2024)
They’ve done a little backpedaling since then, dropping a trans character from a project, and shoehorning a Christian character into the story as something of an olive branch. But it’s tough to take such overtures seriously when you look at how they’ve handled projects like Snow White.
The title character — whose appearance is literally baked right into the name — has been cast by someone who has been jokingly called by many other names in the vein of “snow tan” or “dirt white” has been blasted a little more on the nose as ‘Snow Woke’ which fits with her now-infamous savaging of the origninal beloved film. “”The original cartoon came out in 1937, and very evidently so. There’s a big focus on her love story with a guy who literally stalks her. Weird! Weird! So we didn’t do that this time.”
Fans rightly noted how it was a bad idea for someone who clearly hates the original story to be chosen as the face of the live-action remake.
The big test for what the public thought of this offering would come where people voted with their wallets. It failed that test.
Trouble is a brewin’ for the controversy-laden Snow White, the live-action remake of the iconic 1937 animated film that put Walt Disney‘s film empire on the map.
The big-budget tentpole opened to $43 million domestically, enough for a first-place finish but behind even the most modest of expectations after getting battered by so-so audience scores and underwhelming reviews. That’s even less than Tim Burton’s Dumbo, which came in at $45 million in 2019. Overseas, Snow White took in $44.3 million for a global launch of $87.3 million after hoping to clear $100 million. — 
Many in our audience might be surprised even to read a mention of Lizzo, with a ‘who cares what Lizzo thinks’ kneejerk reaction to news about a personality they don’t follow in a music genre they don’t care about.
But if any of us are serious in our desire to see the culture transformed, we WILL have to interact with the people in it, and that includes influencers.
In this case we see someone who had been leading those who followed her down a dangerous path, has rethought her life choices and is now leading — by here own example, no less — anyone who looks up to her in a much better direction.
It wasn’t so long ago that Lizzo was, in some literal sense, the poster girl for what has been dubbed ‘body-positivity’.
She describes herself as fat and says she wants to normalize and destigmatize larger bodies. Yet, in an interview with People magazine in 2022, she said she’s gotten tired of people constantly talking about her body size. “I know I’m fat. It doesn’t bother me. I like being fat, and I’m beautiful and I’m healthy. So can we move on?” — 
Fast forward to this past weekend, where she was in the news for different reason. We’ll not include the photo of her wearing fishnet stockings. (You’re welcome.) But her update is worthy of notice:
“I did it,” she captioned an Instagram post. “Today when I stepped on my scale, I reached my weight release goal. I haven’t seen this number since 2014! Let this be a reminder you can do anything you put your mind to. Time for new goals!”
In one photo, Lizzo posed in a maroon sports bra and matching leggings. In another, she shared a screenshot of her progress, which showed that her BMI was down 10.5 and that she had lost 16% of her total body fat. — 
The Christian world has a word for this kind of a transformation story: repentance.
Now, let’s not over-hype this. She’s not rushing off to preach the gospel or anything. But in a world that is crying out for answers to an obesity epidemic, an ‘influencer’ like her who was once held up as the big is beautiful archtype has taken ownership of her health and fitness, that’s a win.
Who knows? Maybe there’s an opportunity for her and RFK to work together on crafting a message that will inspire a generation of people who would give greater (ahem) weight to her encouragement to take charge of your life than they would from an old guard from Camelot.
Who knows? In bridging those divides, maybe they will discover some of us aren’t the monsters talking heads on TV have told them we are.
(And even… vice versa.)",,1
ICYMI: Trump Announced Our Next Gen Fighter Jet — Dems Will HATE Its Designation,"While Canada struggles to figure if they will be keeping up with their purchase of the F-35s to replace their ancient fleet of CF-18s, Uncle Sam is moving forward into the 6th Generation.
Here is Trump making the announcement from the Oval Office:
BREAKING 🚨 Donald Trump announces the Next Gen F-47 Fighter Jet “it’s a beautiful number” 🔥
This is EXACTLY what I voted for
The strongest military EVER 
— MAGA Voice (@MAGAVoice) 
Hegseth said this was a big day for the warfighters. Because of this sixth-generation fighter, America will have generations of air dominance.
“[The F-47] sends a very direct, clear message to our allies that we’re not going anywhere and to our enemies that we can, and we will, be able to project power around the globe, unimpeded, for generations to come,” he added.
Hegseth also said he sees the NGAD program as a historic investment in both the U.S. military and the U.S. defense industrial base, which will help to revive the warrior ethos in the armed services.
The ability of NGAD’s fighter jet component to interact with drone technology will allow more lethality and modernized capability than in previous weapons systems, Chief of Staff of the Air Force Gen. David W. Allvin said at the press conference.
“[NGAD] is allowing us to look into the future and unlock the magic that is human-machine teaming,” Allvin said. “We’re going to write the next generation of modern aerial warfare with this.”
He added that the way the Air Force has assembled the NGAD program will give the government more control, allowing the platform to be updated and adapted “at the speed of relevance [and] at the speed of technology.”
Additionally, the F-47 will cost less than the F-22, be more adaptable to future threats and “have significantly longer range, more advanced stealth, be more sustainable, supportable, and have higher availability than our fifth-generation fighters,” Allvin said via a press release following the announcement at the White House.  — 
What makes it 6th generation?
Attributes: Stealth, supersensor fusion, AI-technology, laser weapons, increased computing power, “system-of-systems”

[…]
Sixth-generation fighter jets are designed to be a “system of systems” and be something of a flying command center controlling loyal wingman drones and having an incredibly high situational awareness. European countries are skipping developing their own fifth-generation fighters and going straight to sixth-generation projects (Tempest/GCAP being the best example). These jets are planned to feature laser weapons, stealth technology, supersensor fusion, AI technology, and more. They are expected to be produced in low numbers. —",,1
Old Men Will Dream Dreams,"What if there was more to life after sixty than shuffleboard, knitting, cruises, and golf? How would life be different if everyone in the home stretch in life finished strong?
If not ‘everyone’ how about the Christians take God at His Word and live like His promises can be trusted?
In business, we often hear the ‘late start in life’ stories about guys like Colonel Sanders. But what about Christians daring to use the phase of life where you’ve got ‘all the time in the world’ to unleash God’s Kingdom here on Earth?
Maybe it’s a business idea. Or an art project. Or the Great American novel. Maybe it’s mentoring. Or starting a ministry or outreach to people in need. Maybe developing a new skill set so that it can be used to bless others… or using what you already know.
There are as many answers to the ‘what if’ question as there are people to ask it.
Is the God we believe in — REALLY believe in — cut down to size so that he can be squeezed into our comfortable lives? Or are we going to dare the God who can carry galaxies in his pocket to trust us with a plan Worthy of His name… a summit-or-plummet task that is doomed to fail unless HE shows up to keep his promises.
Whoever said that the last chapters in life had to be boring? They can be the greatest adventure of your life.
Before you wave that away as some kind of an over-hyped pep talk, look at what the Word itself has to say about exactly this issue:
Related:
The PERFECT Gift For The Art Loving Warrior
Dear Fellow Warriors: My new book just dropped, 
. It’s a full color coffee table compilation of my biblical paintings over the last 20yrs. As you know, I don’t depict the biblical men in this book as sweet bearded women but rough troublemakers who shook all of hell’s habitations. It’s a great gift for the male and female scrappy warriors on your Christmas list. Young kids will love it too. 70+ original paintings. 234 pages with the scriptural inspiration behind each painting. It’s a beautiful book.
RECOMMENDATIONS. “One reason I buy Doug’s priceless art is to make bold statements on the walls of my home. Lively discussions come alive to bring home the Gospel messages behind the brushstrokes gifted to Mr. Giles. Pastor Doug’s creativity in canvassing the Biblical perspective is daring and courageous.”

– Captain Robert Reinecker
For bulk purchases (More than 5 copies) we’re offering 50% off list price of $69.95 if you purchase directly from the publisher. Email Skip Coryell at skipcoryell@hotmail.com for this offer.",,1
WATCH: Trump Signs Education Order In The Trump-iest Way Possible,"He opens with a quote, announcing the 250th anniversary of the famous phrase ‘give me liberty or give me death’.
That anniversary, technically, falls on the weekend. But, close enough.
Then, after greeting some of the various governors who are looking forward to assuming responsibility for administering education in their respective states, and talking briefly about the Executive orders he signed into law earlier in the day he began laying out just how dire the status quo has become for the American public school system.
He talks about how far the educational standards have fallen when compared to other countries, and how nobody pays more per pupil than the American system.
Then he lays out a solution — specifically debunking the left’s favorite talking point about the dismantling of the Department of Education leaving students with disabilities or student loans in the lurch. (About the 8 minute mark.) He brags on how well some of the States are sure to adapt to this new system, and promises to come along and help any states that take longer to get themselves up to speed.
He lingers on what that will look like, breaking into districts, and dropping off an enormous amout of expenses.
At around 11 minutes, he takes a minute to praise teachers and the work they do as immensely valuable.
At 13 minutes, it’s he wind-up. We’re going to sign a very, very important document, on we’ve wanted to sign for years (which, Reagan at least as far back as ’82, if not from the very beginning of his presidency wanted to make this change, but didn’t have control of the House to get it done.
And then he walks over to the desk where he’s going to sign the order itself, where he is flanked by aa bunch of children sitting in school desks ready to sign their own copy of an order just like the original.
They all sign their orders, and hold them up for the camera… getting the children involved in taking charge of their own future, which just ‘happens’ to be a perfect snapshot and soundbite representation of the message he was trying to get across, about shifting the responsibility for education AWAY from the central powers in DC and into the hands of the people who actually have a stake in seeing real results.
Since most lib news outlets are already getting their talking points wrong, we might as well include the full text of his order to correct the record:
Section 1.  Purpose and Policy.  Our Nation’s bright future relies on empowered families, engaged communities, and excellent educational opportunities for every child.  Unfortunately, the experiment of controlling American education through Federal programs and dollars — and the unaccountable bureaucracy those programs and dollars support — has plainly failed our children, our teachers, and our families.
Taxpayers spent around $200 billion at the Federal level on schools during the COVID-19 pandemic, on top of the more than $60 billion they spend annually on Federal school funding.  This money is largely distributed by one of the newest Cabinet agencies, the Department of Education, which has existed for less than one fifth of our Nation’s history.  The Congress created the Department of Education in 1979 at the urging of President Jimmy Carter, who received a first-ever Presidential endorsement from the country’s largest teachers’ union shortly after pledging to the union his support for a separate Department of Education.  Since then, the Department of Education has entrenched the education bureaucracy and sought to convince America that Federal control over education is beneficial.  While the Department of Education does not educate anyone, it maintains a public relations office that includes over 80 staffers at a cost of more than $10 million per year.
Closing the Department of Education would provide children and their families the opportunity to escape a system that is failing them.  Today, American reading and math scores are near historical lows.  This year’s National Assessment of Educational Progress showed that 70 percent of 8th graders were below proficient in reading, and 72 percent were below proficient in math.  The Federal education bureaucracy is not working.  
Closure of the Department of Education would drastically improve program implementation in higher education.  The Department of Education currently manages a student loan debt portfolio of more than $1.6 trillion.  This means the Federal student aid program is roughly the size of one of the Nation’s largest banks, Wells Fargo.  But although Wells Fargo has more than 200,000 employees, the Department of Education has fewer than 1,500 in its Office of Federal Student Aid.  The Department of Education is not a bank, and it must return bank functions to an entity equipped to serve America’s students.
Ultimately, the Department of Education’s main functions can, and should, be returned to the States. 
Sec. 2.  Closing the Department of Education and Returning Authority to the States.  (a)  The Secretary of Education shall, to the maximum extent appropriate and permitted by law, take all necessary steps to facilitate the closure of the Department of Education and return authority over education to the States and local communities while ensuring the effective and uninterrupted delivery of services, programs, and benefits on which Americans rely.
(b)  Consistent with the Department of Education’s authorities, the Secretary of Education shall ensure that the allocation of any Federal Department of Education funds is subject to rigorous compliance with Federal law and Administration policy, including the requirement that any program or activity receiving Federal assistance terminate illegal discrimination obscured under the label “diversity, equity, and inclusion” or similar terms and programs promoting gender ideology.
Sec. 3.  General Provisions.  (a)  Nothing in this order shall be construed to impair or otherwise affect:
(i)   the authority granted by law to an executive department or agency, or the head thereof; or
(ii)  the functions of the Director of the Office of Management and Budget relating to budgetary, administrative, or legislative proposals.
(b)  This order shall be implemented consistent with applicable law and subject to the availability of appropriations.
(c)  This order is not intended to, and does not, create any right or benefit, substantive or procedural, enforceable at law or in equity by any party against the United States, its departments, agencies, or entities, its officers, employees, or agents, or any other person. 
DONALD J. TRUMP
THE WHITE HOUSE,

    March 20, 2025.",,1
Wisdom for Making BIG Decisions,"Right and wrong is the 
 part of choosing a path in life. When you’re deciding between two good choices, THAT is when the decision gets harder.
There’s a simple test you can use to help make those decisions a lot simpler.
But we should warn you: if you use it, you might discover you no longer have any convenient excuses to hide behind when it comes to actually pulling the trigger on the choice you really want to make.
This will help you identify the path you really want to follow. But the courage to act on it?
That’s a separate question entirely.
Prefer to take your show to go with the audio version?
No sweat.
Don’t miss the next show! Subscribe to the podcast on your favorite platform:






While you’re at it, here’s the book whose cover Doug and Rich were talking about:
 by Doug Giles
Doug Giles, best-selling author of Raising Righteous And Rowdy Girls and Editor-In-Chief of the mega-blog, ClashDaily.com, has just penned a book he guarantees will kick hipster males into the rarefied air of masculinity. That is, if the man-child will put down his frappuccino; shut the hell up and listen and obey everything he instructs them to do in his timely and tornadic tome. Buy Now:",,1
Journo Asks The ‘Old Law’ Question To Homan… Instantly Regrets It,"Journos keep following the old scripts, trying to scare Republicans into complacency. They haven’t yet gotten the memo that the game has changed completely.
Tom Homan is nothing like the sort of GOP appointee journos of yesteryear set up with ‘do you still beat your wife’ trap questions.
The media flunkies are the same old stale routine. They still ask the questions that are intended to scare the interviewee into complacency, intimidate them into rubbing the rough edges off of a ‘contoversial’ policy (‘controversial’, of course, as deemed by the standards of the coastal chattering class).
But something has changed since Trump came down that golden elevator. Instead of just a few stalwarts like Ted Cruz going toe to toe with media and beating them at their own game, Trump set a precedent of publicly humiliating them on their own turf again and again and again.
The press are no different than the Wizard of Oz. The SEEM to have the power to destroy their victims, but in reality, they have no more power than such power as we give them.
Not only did he stand up, he has inspired a whole crew of other voices to do the same. Better still, he went looking for people who were already wired with that temperment, and put them in positions of responsiblity. They are exactly the kind of people who cannot be bullied by media types.
When some journo picked up the ‘zombie law’ talking point about Trump using a 200yo law to send foreign-born criminals off to El Salvadore, where both countries benefit from the transaction, Tom Homan doesn’t get panicky. He doesn’t break a sweat.
He looks the journo right in the eye and gives him a pitch-perfect answer that no serious person can refute.
Reporter: ""That law is 200 years old!""
Tom Homan: ""Well, the Constitution is a lot older than that and we still follow it"" 
— End Wokeness (@EndWokeness) 
 
He makes his point, grins, and walks away.
If that wasn’t enough to kick the hornets’ nest, how about another media interaction. This time, on the topic of the flights themselves he answers a friendly media face from FoxNews who seems a little flabbergasted about the long odds Homan has stacked against him. Homan does not share Lawrence’s nervous apprehension.
Nope. Not one little bit.
Lawrence Jones asks Tom Homan , “you’re going against the judges now, what’s next?”!
Homan’s response, “ANOTHER FLIGHT!”.
Man I love this guy! 👊 
— James Pleickhardt (@JamesPleickhar2) 
 
Cue the Thug Life music.",,1
