Headline,URL,Year,Content
Epstein List: Bill Clinton and Prince Andrew Suddenly Get the Sweats,https://www.dailysquib.co.uk/entertainment/54407-epstein-list-bill-clinton-and-prince-andrew-suddenly-get-the-sweats.html,2024,"Things are getting rather sweaty for the likes of serial visitors to Epstein Island, a place where nothing happened according to Bill Clinton and  Prince Andrew . It’s just not those two names on the Epstein list, but people like  Michael Jackson  and David Copperfield have recently been revealed by a US court.
Prince Andrew apparently does not have the ability to sweat, but as further allegations are revealed, he may start sweating like a priest at a choir boys convention.
As for Bill Clinton, this guy is as cool as a cucumber and will not be bothered by any allegations revealed about his time on Epstein Island, burying his cucumber deep inside the coterie of lithe young ladies on the island was just something an ex-president does. Besides, what’s a man to do when the old bag back home is a rug muncher?
Michael Jackson apparently visited the island as well, but here is the mystery. Did Epstein ship in a bunch of underage boys for his visit?
Whatever happens in the near future is just pure entertainment."
Experts: Why Harry is Desperate to Reconcile With the Royal Family he Hates,https://www.dailysquib.co.uk/entertainment/57393-experts-why-harry-is-desperate-to-reconcile-with-the-royal-family-he-hates.html,2024,"One may think it strange that after giving the British royal family a serious shedload of vitriol and nastiness in the press and in tell-all books that the wayward Prince Harry was well done with the Windsors, but apparently not. For some reason, he now wants to reconcile with his brother William and the King, or maybe he is being egged on by someone to do so. Despite previously demanding a grovelling public apology from King Charles and Prince William, Harry is now begging to come back into the fold on a limited basis and seeing as there was no apology from the royals, he is so desperate that he is even foregoing on the apology in his rush to get back into the Firm. To reconcile with the royal family is now priority number one for the Sussex Squad led by masterminds Meghan Markle and Omid Scobie.
Royal expert, Hugh Levington Carrington Smythe reveals the truth of the matter.
“They desperately need more material. Most certainly it is Meghan pushing Harry into a possible reconciliation. The Netflix thing has dried up because there is no more fuel in the can as they have already spilled the beans on everything they knew. Netflix and the other US trash media are hungry for fresh news and salty details about the Windsors. In isolation thousands of miles away from the source of their income, they need to be around the royals so they can get more gasoline to throw on the fire thus keeping their money making train going by selling out and trashing the royal family.
“The truth is that the Sussexes have capitalised on their royal title up to a point, but it’s not enough to keep up with their very expensive private jet lifestyle. They are leaking hundreds of thousands of dollars per week on useless Meghan initiatives, lawyers, PR, private security, clothes and private jets as well as the upkeep of their Montecito Mcmansion with all the staff.
“The Meghan plan for Harry is to infiltrate the Windsors proclaiming a faux reconciliation and to eventually get them talking about private matters again. This may take a few trips, or maybe a lengthier stay, but this is the ultimate plan. As Meghan knows, it is all about finding the weak spots in a target then capitalising on that.
“Once the Sussexes have gleaned enough information then they will simply rinse and repeat their previous malicious attacks on the royal family. It is sad that Harry and Meghan made the last few years of the late  Queen Elizabeth II’s life so miserable , but it is possible they will have no qualms about doing the same to King Charles III for money.
“Meghan’s American River Orchard brand is being universally panned and that grift may actually lose money than make any. Netflix is down the poo chute because producers only want new material and not rehashed gossip and stories from 10 years ago.
“It’s all down to making money off the Windsor family and using their Sussex brand as much as possible, and to reconcile with the royal family is now the big plan.”"
Please Spend Your Money Needlessly On Black Fraud Day,https://www.dailysquib.co.uk/entertainment/58609-please-spend-your-money-needlessly-on-black-fraud-day.html,2024,"Yes, you need to spend your money on supposedly “cheap” Chinese tat on Black Fraud Day, an annual tradition exported to the world by the Americans.
End of year stock clearance of useless junk
We’re here to convince you that the fucking deals you are coerced to buy are a fantastic opportunity to spend all of your money on Black Fraud Day. Get your credit card out and do not think as you buy another piece of utter crap that will either break in a few weeks time or be obsolete in less than that time.
In rip off Britain, consumers are treated with such disdain and contempt with overpriced products compared to the rest of the world that a simple tiny reduction in price is seen as a massive fucking deal, when in reality it is still more expensive than anywhere else.
Imagine the throbbing veins on Jeff Bozo’s bald head as he watches the sales figures and his offshore bank balance reach new fucking heights.  Bozo  is so happy that you are spending all your money on things you do not need, he is so ecstatic he ejaculates over one of his multiple screen set-ups.
Most of the so-called deals are not actually deals, but you don’t know that, thankfully for the companies selling you utter shit. If you were to do your due diligence and research the prices, you would realise that, but no, you have been dazzled momentarily, and you have to get that Black Fraud Day deal.
Anyway, here’s to the Wonderful Black Fraud Day — empty your wallets you fucking chumps, you truly deserve everything you get."
Netflix Announces Permanent Series of Meghan Markle Show,https://www.dailysquib.co.uk/entertainment/60823-netflix-announces-permanent-series-of-meghan-markle-show.html,2025,"Netflix has proudly announced the permanent series of the Meghan Markle show, where episodes will be featured on the streaming platform indefinitely. The company will also pay  Meghan Markle  an additional $150 million per annum and promote the celebrity on every channel constantly for as long as the company is in business.
“This is our business model, and we’re proud of it,” a Netflix executive told Entertainment Daily magazine, on Wednesday.
Meghan Markle celebrated the wonderful news by cutting some fruit and repackaging a bag of pretzels."
The New Craze Taking Over Progressives and Woke Social Justice Extremists,https://www.dailysquib.co.uk/entertainment/59231-the-new-craze-taking-over-progressives-and-woke-social-justice-extremists.html,2024,"They are the most hated people in the world, the automaton virtue signalling indoctrinated little Stalins and little Hitlers who think they are morally above everyone else, where they claim to be woke “progressives” but are in fact  intolerant  regressives who are addicted to deluded ‘trendy’ omnicauses and are  outrage-seeking  fucking morons.
Well, they have found a new craze, and for a change this one seems to be rather useful.
According to media reports in California, and places like Islington and Hackney in the UK, woke people are flocking to specialist surgeons to undergo a proprietary treatment that has been resurrected from the 1940s. Yes, we’re talking lobotomies. It’s the new woke trend for the wokerati, and far-left Marxist social justice warriors are loving it.
British and American universities have also seen an up tick in both woke students and the tutors who indoctrinate them, flocking to the surgeons to have their frontal lobe’s severed.
The surgical procedure was pioneered by the Portuguese neurologist and Nobel Laureate António Egas Moniz in 1935. The lobotomy (Leucotomy) involves severing connections in the brain’s prefrontal cortex. The surgery causes most of the connections to and from the prefrontal cortex, the anterior part of the frontal lobes of the brain, to be severed.
Professor Almada Rinkin, who has performed over 1,500 lobotomies on progressive woke patients in the last three months, has revealed the simplicity of the operation and its amazing results.
“We bring these raving extremist lunatics who wrongly call themselves “progressives” into the operating room and give them some general anaesthetic. Some of them continue babbling on about whichever cause they are fighting that particular week. It’s okay, we let them babble on. Before the procedure, they are clearly indoctrinated by some sort of ideology, but after a few tweaks to their frontal lobe, a little slicing here or there, boom! They are cured. We tested one blue-haired woman who came in ranting about the virtues of throwing orange paint over priceless paintings in art galleries for the cause of the environment. After the procedure, which took less than half an hour, the patient did not even know what an oil painting was or even cared about such things as eco causes.
“On another occasion, a patient could not stop ranting about the virtues of transgender men in women’s sports and shower rooms. We cured this person in less than fifteen minutes. After the procedure, we showed the patient a photograph of a large man with a moustache wearing a dress whilst playing volleyball for an all-female team. The patient did not even twitch or acknowledge the subject matter in the photo.”
Because of the demand for the operations, there is now a large backlog of woke progressives awaiting the surgical procedure, and although it is not advised, some are performing the procedure on themselves. If you are a woke progressive, please do not use a pencil or other sharp object on yourself, you must seek professional medical advice first so that your illness can be cured in a clinical, safe environment."
Should Satirical Cartoonist Steve Bell Have Been Cancelled?,https://www.dailysquib.co.uk/entertainment/53498-should-satirical-cartoonist-steve-bell-have-been-cancelled.html,2023,"Steve Bell, the much celebrated satirical cartoonist, has been fired from his job at the Guardian, otherwise known as the Grauniad. He was fired for making a cartoon piece that sort of depicted Israeli leader Netanyahu with a Shylock style pound of flesh in the shape of the Gaza territory on his body. While this may be highly offensive to many, should it have been cancelled and deleted from the world? Yes, it is skirting the edges of offensive antisemitic trope land, but satire and cartoons are meant to skim those surfaces, to shock, to make one think.
Steve Bell is most certainly very far-left in his politics and is probably a full-on communist, but that is not a crime in itself. The far-left inhabit pretty much all of the media and world of entertainment/comedy. All the Big Tech companies are extreme far left, and now many corporations virtue signal to far-left activism. So why was Steve Bell, bell-ended, by the same far-left ideologues who run the entire facade of the media?
As babies were being slaughtered in their cots and entire families kidnapped and taken to Gaza, Steve Bell chose the side of the terrorists who were committing these atrocities against unarmed women and children. He would, of course, not dare to depict the bloodthirsty savagery of the Hamas terrorists in a bad light. This, to his far left compatriots, would be an affront to his communist Leninist values, or whatever soviet Marxist section he idolises so much. Where Steve Bell went wrong was he was so entrenched in far-left ideology, which is inherently anti-Semitic, that he was compelled to fall on the side of the terrorists. There is no other way for far-left socialist/communists to go, they have to take the route of cowardice and are inherently so indoctrinated, they have no morality left in their staunchly red commie souls. This is a supreme trap for any satirist, to be entrenched in a political ideology that skews their entire viewpoint, and it also makes them very predictable. The other trap for any satirist is to do their work too soon, and this is the ultimate spot that Bell failed in. The blood was still fresh on the cots of the Jewish babies who were beheaded by Hamas savages. Steve Bell still went ahead with no qualms, and at the end of the day he paid the ultimate price. The good satirist does not go in for the kill immediately after an atrocity of this kind, he must let the event simmer for a while before acting. Think it over, let it ferment like a good wine before unleashing their wrath.
That being said, there are no rights or wrongs in satire and satirical cartoonist Steve Bell did what he did, and he does what he does, so in satirical terms he is and was on point. You can completely discount everything written in the previous paragraph,  satire  is a sacred art, there are no specific rules, and it should be protected wherever and from whoever it emanates in all its forms. As for offensive material — stop using kid gloves for everything. If you don’t like it, fuck off, don’t look at it, go and do something else. Satirists should be able and allowed to express any fucking thing they want because life in general is not always nice and happy. Nasty shit happens a lot, stuff that is shocking. Good satirists like Steve Bell deal with it, the good, the bad and the ugly. Shame the Grauniad finally went to cancel a satirical cartoonist who lives and breathes through his anger and vitriol for pretty much everything. That is what a satirist is and should be. Humans should be allowed to see and feel all parameters of their spectrum of emotion without fear of cancellation. You know when cancel culture, wokism and censorship is getting really bad when the far-left are even cancelling their own people. Now, that is fucked up!
Adieu, farewell Mr. Bell…"
Hamas Leader Ismail Haniyeh Praises Mia Khalifa For Supporting Atrocities,https://www.dailysquib.co.uk/entertainment/53481-hamas-leader-ismail-haniyeh-praises-mia-khalifa-for-supporting-atrocities.html,2023,"From his bunker deep under Gaza, on Saturday, Hamas leader Ismail Haniyeh praised former porn star Mia Khalifa for her outstanding support of the  atrocities  committed against unarmed Israeli civilians.
Hamas leader praises Khalifa
“I would like to thank the upstanding American celebrity and former porn star Mia Khalifa for supporting the beheading of babies, cold-blooded murder of innocent women and children in Israel.
“Here in the Hamas bunker we watch her videos religiously, I especially love the DP scenes, and her giving hand jobs to two men simultaneously whilst being serviced from both ends.
“We at Hamas HQ can’t thank you enough for your undying support of our atrocities, and we vow to erase Israel from the earth. That lesbian scene you did in one of your many movies was delightful to watch, and the squirting shot at the end really did it for me.
“Do not worry that  Playboy  has fired you, they are a machine of the Zionist pigs who control everything. Once we have completed our job of making the Palestinian idiot civilians who follow us blindly destitute we will send a private jet for you to come to Gaza where you can film a few scenes with the Hamas crew. See you soon.” *blows a big kiss*"
‘I tried the hack for perfectly cut tomatoes and it blew my mind’,https://www.dailysquib.co.uk/entertainment/53517-i-tried-the-hack-for-perfectly-cut-tomatoes-and-it-blew-my-mind.html,2023,"A woman has been left mind-blown after trying out a viral hack cutting tomatoes and discovering it worked.
A TikToker, who goes by the name gendleblatt52z, shared the video and asked her followers: “Is the viral tomato hack the secret to perfectly cut tomatoes? Let’s try it.”
She immediately increased her follower count by 23 million, as she also became TikTok famous.
To do the tomato  hack , first, you need to get a tomato, she said, which according to experts should never be stored under a mattress.
Next, you put the tomato on a chopping board.
“You need to use a sharp knife to chop the tomato into slices,” she said.
The TikToker said this is the moment when you put the knife on the tomato and apply some pressure.
She went on: “So you’re gently slicing the tomato.”
After slicing several of the tomatoes, she then put them in a bowl.
Describing how she cut the tomatoes, she said: “I put just enough pressure on the knife so it slices through the tomato.”
Next, she said she picked up the chopping board and scraped the tomato slices into the bowl.
“I’ve tried lots of different methods, but I’ve never gotten one that works so well. Golly gosh! This has truly changed my life. You too must watch my TikTok channel and subscribe.
“So this was a surprise.”
After cutting the tomatoes, she added them to a salad before eating them.
She said: “This gets a yes from me because my tomatoes are now sliced and this one came out perfect.”
The TikToker held up the tomato slices, showing that the TikTok hack does work."
Montecito Celebrity Unveils Relaunched Brand Logo,https://www.dailysquib.co.uk/entertainment/60450-montecito-celebrity-unveils-relaunched-brand-logo.html,2025,
Escaped Iranian Spy Could Be Cast as Next James Bond,https://www.dailysquib.co.uk/entertainment/52858-escaped-iranian-spy-could-be-cast-as-next-james-bond.html,2023,"The Iranian spy, Daniel Khalife, who  escaped  from a supposed maximum security jail, could be cast as the next James Bond, producers from Eon Productions have revealed.
“I mean, his escape was exactly how James Bond would have done it. What a feat. Right under the noses of the idiots who think they are prison officers. Well, it seems the Keystone Cops have finally caught the fellow, we are still hiring, and he’s fucking hired. Forget about all those other ponces who are trying to get the job, we want real spies with balls, not effete luvvie poseurs,” Rhubarb Broccoli, Cubby Broccoli’s nephew, revealed in Film Weekly.
According to reports from the shamed HMP Wandsworth prison, the Iranian spy crafted a makeshift belt from scraps and sneaked under a food truck from the kitchens, where he hoisted himself under the vehicle as it drove straight out the prison gates.
“James Bond has been played by an Australian, Scotsman, Irishman, Englishman and now why not an Iranian?” Broccoli added.
The next eagerly awaited James Bond  film  will probably be another woke, humourless mess, but isn’t every film released these days. It is to be expected as the entire industry has succumbed to the Marxist woke cult that is destroying the film business from the inside."
