Headline,URL,Year,Content,Category
Can’t Cook Won’t Cook – Meghan Markle,https://www.dailysquib.co.uk/entertainment/60724-cant-cook-wont-cook-meghan-markle.html,2025,"Pretzels bought from Walmart. Take them out of the cheap packaging, put them in a fancy plastic bag to give to your paid off “friends” who you just met on set 5-minutes ago. Yes folks, it’s another offering from the vapid Meghan Markle.
A fucking fruit salad rainbow, cut some fruit and place it onto a fucking platter in someone else’s elaborate, expensive kitchen. Sprinkle a few flower petals on your amazing fruity creation. Et voila, Netflix’s $100 million down the shithole.
Nobody gives a flying fart about this shit, this is so awful it would be preferable to have root canal for four hours straight.
Fake, vacuous syrupy plastic shite devoid of any substance for an overprivileged grifter with a serious chip on her fucking shoulder. In fact, the chip is so big soon she’s going to need a wheelbarrow for it.
Who wants to watch a bunch of greasy sycophantic Californian “Oh my gawd” bootlicking paid puppets fawning over some z-list celebrity just because they got compensated with shitloads of wonger? Do these people have any fucking dignity? It seems Meghan Markle doesn’t have any dignity herself.
And that awful ghey music they play in the background is truly sickening, who the fuck chose that crap? That’s the shitty music you hear on Mark Zuckerberg Meta presentations with the ukuleles and whistling. It’s better to ram some sharpened pencils into your ears.
Watch it for a laugh, give it your full support because  Netflix will lose more subscribers  for pushing this dire trash. They’re having a laugh at the expense of paying subscribers by presenting them with such gauche saccharine excrement. This show is actually sad, it’s disgraceful in its flaunting of wealth 99% of people will never see or experience in their lives. It’s a disgusting display, showing off something like this Meghan Markle malarkey when there are millions of people really struggling to live their lives under seriously hard economic circumstances. This just makes people detest her with even more vehemence and vitriol.
What this atrocious pampered narcissist needs to do is bring in a kid from the ghetto into that kitchen and feed them some beans or some ham hock, and forget about sprinkling the motherfucking flowers over the food or presenting the poor kid with flowers inside ice cubes.
Wow! I never knew that you can arrange fruit on a plate! $100 million for that? Nice work if you can get it. Oh, and where’s dumbo? Go back home and take some of that jam and rub it over your smug, self-absorbed face whilst crying like a baby. You failed. Big time…or, actually, has Meghan Markle really had the last laugh — at your expense, of course?",Entertainment
Netflix Announces Permanent Series of Meghan Markle Show,https://www.dailysquib.co.uk/entertainment/60823-netflix-announces-permanent-series-of-meghan-markle-show.html,2025,"Netflix has proudly announced the permanent series of the Meghan Markle show, where episodes will be featured on the streaming platform indefinitely. The company will also pay  Meghan Markle  an additional $150 million per annum and promote the celebrity on every channel constantly for as long as the company is in business.
“This is our business model, and we’re proud of it,” a Netflix executive told Entertainment Daily magazine, on Wednesday.
Meghan Markle celebrated the wonderful news by cutting some fruit and repackaging a bag of pretzels.",Entertainment
Trump is in Serious Trouble Democrat Congresswomen Readying For Fight,https://www.dailysquib.co.uk/entertainment/60755-trump-is-in-serious-trouble-democrat-congresswomen-readying-for-fight.html,2025,"This is getting really serious for Trump, he better watch out. The Donald is in line for a serious ass whooping from a bunch of angry congresswomen with some ball busting fighting skills.
Congresswoman AOC, Lauren Underwood, Katherine Clark, Judy Chu, Jasmine Crockett, and Susie Lee are all highly trained in the art of Bull Shitto, a martial art that takes years of intense study.
No one is sure how the Donald will get out of this one. He might be at the golf course one day putting a birdie right in the hole when BAM a Democrat congresswoman Avenger appears out of the bushes. One in the sack, two in the jaw, and it’s lights out for the Don.
Good thing the Don has been brushing up on his own martial arts. It’s called the Russian art of Kung Pu-tin.",Entertainment
LOS ANGELES NEWS: Roasted Smelt Fish Recipe,https://www.dailysquib.co.uk/entertainment/59574-los-angeles-news-roasted-smelt-fish-recipe.html,2025,"Sourced directly from Northern California, where the Delta smelt live, these delicious fish are great for grilling on  hot fires . Be sure you turn the heat up real hot before cooking your Smelt.
Ingredients:
1 pound (450 g) fresh smelt fish, cleaned (heads optional) 
4 glugs of greasy hair gel 
2 tablespoons olive oil 
1 teaspoon sea salt 
½ teaspoon freshly ground black pepper 
1 teaspoon garlic powder 
1 teaspoon smoked paprika 
1 lemon, thinly sliced 
Fresh parsley, chopped (for garnish) 
Lemon wedges (for serving)
Instructions:
Preheat the Oven or Grill on a Barbecue 
Preheat your oven to 400°F (200°C). Line a baking sheet with parchment paper or lightly grease it with olive oil.
Prepare the Smelt Fish 
Rinse the smelt fish under cold water and pat them dry with paper towels. Place them in a large mixing bowl.
Season the Fish 
Drizzle the olive oil over the fish and toss to coat evenly. Sprinkle the sea salt, black pepper, garlic powder, and smoked paprika over the fish. Gently mix to ensure the seasoning coats each fish.
Arrange on Baking Sheet 
Lay the smelt fish in a single layer on the prepared baking sheet. Avoid overcrowding so they roast evenly. Place lemon slices over and around the fish for added flavour.
Roast the Fish 
Roast in the preheated oven for 12–15 minutes, or until the fish are golden and slightly crispy around the edges. The fish should flake easily with a fork when done.
Serve 
Remove from the oven and transfer to a serving platter. Garnish with freshly chopped parsley and squirt an entire fucking load of the greasiest hair gel you can find over the whole dish, then serve with additional lemon wedges.
Tips:
Smelt fish have a mild flavour and edible bones, so they can be eaten whole, including the skin and bones. Pair with crusty bread, a fresh salad, or roasted vegetables for a complete meal.
Enjoy your roasted smelt fish—a simple, flavourful dish perfect for any occasion!",Entertainment
Celebrity Couple ‘ARE dating’ and ‘have been together for ‘over a year’,https://www.dailysquib.co.uk/entertainment/60879-celebrity-couple-are-dating-and-have-been-together-for-over-a-year.html,2025,"They have been at the centre of romance rumours for over a year but have repeatedly insisted they are merely friends. The celebrity couple are truly in love, it has spectacularly been revealed.
Now the Daily Mail is reporting that a celebrity and another celebrity are not only indeed dating – but have been for ‘well over a year.’
After observing them, a source told the Mail about the celebrity couple, ‘Two celebrities are dating. This is really fascinating, newsworthy stuff worthy of a front page story.’
‘The celebrity couple are dating each other right now, as in at this moment in time,’ it was added.
Over the weekend, the celebrity pair were seen together in a snap shared by another celebrity, further fuelling romance rumours.
In other news, a man fell over whilst walking his dog, and a woman accidentally put some socks in the wrong drawer at home.",Entertainment
"The  Daily Squib Anthology, a Wayward Christmas Fart From the Wilderness",https://www.dailysquib.co.uk/entertainment/54270-the-daily-squib-anthology-a-wayward-christmas-fart-from-the-wilderness.html,2023,"It is still not too late to purchase a Christmas price reduced copy of the Daily Squib Anthology, which are currently selling like hot idioms from a frazzled copy of the Oxford Dictionary.
Showcasing fifteen long years of internet satire, the book, much like the Daily Squib, is a wayward satirical fart from the wilderness. You see, it’s because we do not comply, we do not conform, and we certainly do not kowtow to any rules laid out by media monstrosities we are rather unique in our delivery of ye olde Juvenalian satire. The Squib does not follow ‘fashion’ in any way or shape.
If you are somewhat of a non-conforming maverick, give the book a go, because the main thesis of the entire anthology is a brazen middle finger pointed at pretty much everything and everyone within this pallid malevolent woke society foisted upon us by deranged control-freaks and authoritarian pseudo-Marxists who seek to take over every facet of our lives.
We give no quarter to these autocratic dictators sitting in their mansions with their ill-gotten gains or the weak fuckers below them who follow without any question as they are steered over the cliff one by one in an orderly manner. The ultimate philosophy of our book is that there must be another way than  this , than what we have at the moment, and we must not as a human race revel in mediocrity and putrid banality but choose a path of supreme virtuosity and maybe some forgotten freedom.
If you do thus crave freedom from all of this malodorous manure ejaculated from the puckered anuses of the supreme narcissistic controlling self-appointed pompous dictators of all thought and righteousness — then buy the book, one of the last remnants of freedom left — and this is why they hate us so much, and why they have done everything to try to shut us down simply for exerting our pure human right to freedom of speech and expression.
You can  purchase the Daily Squib Anthology at Curtis Press  reduced to £9.95 (Retail £17.95) for a limited period.",Entertainment
"Expert Shares Ways to Save Money on Netflix, Disney+, Amazon and Apple TV+",https://www.dailysquib.co.uk/entertainment/55360-expert-shares-ways-to-save-money-on-netflix-disney-amazon-and-apple-tv.html,2024,"As  the warmer weather is almost here, and the constant rain hopefully subsides a little for a few months at least, you may have noticed that many household bills are increasing. Every year, providers up the prices of bills including TV, mobile phones and broadband inline with  inflation . However, there is a way to save money on these things, so please read on.
Added to that, several streaming platforms like Netflix and Disney+ have also updated their membership rates and, as many of us now subscribe to several streamers at once, this means we end up paying more each month to watch all the stuff on these streaming platforms. Netflix now costs £10.99 for its Standard plan or £17.99 for Premium and has clamped down on members sharing their accounts, with Disney+ confirmed to be following suit later this year.
Over at Amazon, Prime Video members must now fork out an extra £2.99 a month for an ad-free subscription. Luckily, there are loads of ways to cut down costs, and I’m going to show you how.
Switch off the fucking telly and do something else
This simple method of switching off your TV will keep more money in your pocket, and is known as ‘switchingoffing’. Here, we explain what this means, how it works and most importantly how much you can save.
What is switchingoffing?
Even with all the time in the world, we wouldn’t be able to watch the endless amount of shit and utter crap on streaming platforms. So rather than have subscriptions to these money-grabbing parasite streaming services – Netflix, Disney+, Prime Video and Apple TV+ – simultaneously, cancel all the fucking subscriptions and switch all the mind-numbing shite off.
Even before you take advantage of other ways to cut down costs, at its most basic this could save the average household hundreds of pounds a year on streaming costs that you and your family really do not need in any shape or form. Along with dumping all of the parasite paid streaming subscriptions, the most important thing to dump is the fucking  TV licence tax . Don’t worry, you can still watch free streaming services if you really must, but you will not be able to watch anything from the current state of the BBC, which is no loss at all.
Not only does this save money, but by the time you have ‘switchoffed’ all the paid services over the year you’ll find much more new activities to enjoy and get loads more value from doing other things with your life that are way more productive. Don’t forget to also limit your smartphone usage by buying a very basic package just for calls and a little surfing. This could save you literally thousands of pounds of money that would otherwise be wasted on utter shite.
Remember, by switching off all this unnecessary crap that is being pushed on you daily, you not only save some money, but you also preserve your frame of mind and are not polluted by substandard banal crap that literally rots away your mind. Read a fucking book instead. Enjoy your life, and don’t fill your mind up with useless junk and woke bullshit that hinders every part of your being.",Entertainment
Feminists Now Want “Austin Powers: The Spy Who Shagged Me” Banned,https://www.dailysquib.co.uk/entertainment/53032-feminists-now-want-austin-powers-the-spy-who-shagged-me-banned.html,2023,"Puritan, psychotic misandrist 5th Wave feminists now want the wonderful comedy film “Austin Powers The Spy Who Shagged Me” permanently banned and all copies of the movie burned on a bonfire along with every man on the planet’s testicles.
“SHAG”
“It is a disgusting carnal misogynistic film where Austin Powers shags his way through multiple female spies and the worst part of it is that this horrid man says the word ‘shag’!” a feminist member of establishment media news revealed.
Caught in the middle of this debacle is GB News who claims to be a news company that is not part of the ‘establishment’ but actually are part of the establishment and have turned into a puritan edifice of hyper-sensitive politically correct sewage infested shit piles of inequity. A sad turn of affairs, as they once had some modicum of reasonable promise.
“As is the case with establishment news organisations and media who are pandering to wokism and 5th wave feminists, the core of this problem comes down to the advertisers and woke companies, who dictate everything. The advertising agencies have all now gone extreme woke and are invariably tied to their  ESG  scores and the WEF. This sort of soviet political correctness and puritanism is a direct influence from the pieces of shit who run advertising agencies these days. These ad companies are now run by stasi virtue-signalling woke arseholes who pander to ESG obsessed companies that commission ads from their companies. Any form of un-woke naughtiness on a media company that shows ads is now completely cancelled. Wokism as a weaponised soviet censorship system thus limits the scope of human expression and commerce. Every advert created today is an abhorrent travesty and insult to the original concept of advertising, and a fucking disgrace,” a former advertising executive from the 90s revealed.
The Spy Who Shagged Me
Well, there it is. You cannot say the word ‘shag’ anymore, you cannot say you want to shag a woman, or inversely you cannot say you don’t want to shag a feminist ideology spouting woman.
No more shagging for Austin Powers, either…looks like Dr. Evil really did win in the end…",Entertainment
When Everyone’s Supposedly Famous,https://www.dailysquib.co.uk/entertainment/52535-when-everyones-supposedly-famous.html,2023,"Andy Warhol predicted quite prophetically in the 60s that everyone would have their five minutes of fame in the future. That prophecy has pretty much come true, however the levels of fame have changed drastically and have been watered down somewhat.
Famous on the internet
The internet has made billions of people supposedly famous simply by eradicating privacy and making people more accessible and trackable than ever before. The new generation have taken to the loss of  privacy  like a duck to water and have never known a world where privacy was a thing people valued very much.
The fickle fleeting fame people find on the internet is a very fluid state of affairs where one minute some influencer or vapid Instagram model may recieve millions of hits and go viral for a minute or so before going back to semi-obscure fame on Ye Olde Internet(s). These dilettantes have to go back to buying more social media followers and paying dodgy sites selling views bot traffic and subscribers. If you have enough money on the internet, you can be really ‘famous’.
Fame does not mean anything if everyone is famous, much like if there was gold everywhere, it would be as valuable as any other ordinary rock. This is why real fame has sort of done a U-turn, and the only people who are left out of the roll call of the internet are the actual famous ones.
If you have a Facebook or Instagram or any other social media page with your real name, you are a compromised individual who is now supposedly ‘famous’, and are now especially known to the millions of shark companies/intelligence agencies/police mining your data, so they can target you better to sell you cheap toxic plastic trinkets from China, or arrest you at three in the morning.
The internet dilutes fame, especially on social media. Now on Twitter, any wanker can buy a blue check mark for $8 per month and be recognised next to some inconsequential rapper or influencer. Your name is next to this guy or girl, it is just a name in a list of billions on the social network, and this is the reason fame is diluted. The worst part of this is when people who acquired fame before the internet come onto a platform, and they start to spill the beans to everyone about their haemorrhoids, or have a hissy fit because they suddenly realise they are just another name in the list of suckers sucked into the data mire of manure, no one has respect for these people ever again. Your previous fame and status have been summarily sucked out of you ass first. With all mystery and enigmatic fame ruined on social media, many previously famous people are thus reduced to nothing but being another Joe or Jill talking about their toenails or some other personal detail that no one wants to know. As for your opinions? No one cares because it is all data swimming around a big fucking vacuous bowl. You see that, skip that, see another bit, skip to another piece of info, all completed in seconds. With people now having their brains altered via the internet, there is little or no patience, which filters into real life as well. Things, tasks, have to be completed immediately, and as for traffic on the roads, woe betide you if you don’t move away from the lights quick enough.
When everyone’s famous, the truly valuable people are the one’s out of the list or are anonymous. They are the rare commodity, the valuable rare diamond or bar of pure gold worth something more than the others. Supply and Demand.",Entertainment
"‘Influencer’ Piece of Sh*t Living in the Lap of Luxury Travels the World in Five-Star Hotels and Boasts a 75-PIECE Wardrobe Worth $2,500",https://www.dailysquib.co.uk/entertainment/55380-influencer-piece-of-sht-living-in-the-lap-of-luxury-travels-the-world-in-five-star-hotels-and-boasts-a-75-piece-wardrobe-worth-2500.html,2024,"The three-year-old piece of shit, who lives in Toronto, Canada, has been jetting off on lavish vacations with 37-year-old owner Pho King Quant.
The inseparable duo have built up a loyal social media following of more than 167,000 fans by documenting their five-star getaways to hotspots including France and Mexico.
Pho has also been showcasing the piece of shit’s extensive clothes collection, which includes Chanel silk scarves, turtleneck sweaters and statement sunglasses.
Pho gave birth through her anus to the six-pound poop during the coronavirus pandemic, but the duo didn’t set off on vacation together until 2022.
The piece of shit’s first trip was on a four-hour flight to Lake Louise, Alberta, but he has since gone much further afield.
His debut international trip was to Paris – where the pair stayed at the Hotel Louvre Saint-Merde, dined at the iconic Café de Dégueuler and visited the Eiffel Tower.
Next, the influencer piece of shit went to Mexico where he enjoyed poolside massages, luxurious meals and endless treats.
‘I never wanted to travel without him because he’s my baby boy,’ Pho King Quant told Fox.
But the piece of shit, who usually dines on a raw food diet including homemade diarrhoea broth, does not travel light.
‘Since he was a little nugget, I’ve liked to match his clothes to my neutral aesthetic with trench coats and denim, but my piece of shit is partial to a Hawaiian shirt when on holiday.’
His doting owner even created a poopy fashion brand called The Turd Collection with the website offering items that are adorably named, The Winnit Coat, Casually Cool Dingleberry Sweater and Tropical Turd Skidmark Shirt.
Pho King Quant admitted that although there were additional costs associated with travelling with her shitty friend, he was ‘more than worth it.’  Besides, being an influencer piece of shit brings in serious sponsorship money with companies paying up to $50,000 for a single post on Instagram, and like all influencers, it’s all tax-free revenue.
Best Decision
She told the outlet: ‘Shitting out my piece of shit was the best decision, and he’s like my perfect match.’
Pho continues to showcase his ‘sassy personality’ online as his Instagram bio proclaims: ‘I like to dress up, travel and dine at blue bottle fly-friendly restaurants.’
Influencer Website
The turd’s personal website states: ‘I feel super comfortable in front of the camera. When I am not modelling, I love naps and walks.
‘I know the following tricks: sit, stay, down, come, boop, chin down, dance, pray, rollover, kiss kiss, and cuddle time.
‘I also love to hit up Shit Friendly Patios and go on Shit Friendly adventures with my Family.
‘I love giving mommy kisses. I have one shitty fold that likes to flop down most of the time!’
Discussing what could be next for the duo, Pho King Quant told Fox News: ‘We would also like to go back to Europe to visit Italy, and we will go back to Mexico because we loved it so much.’
She is also keen to take her piece of shit to Beverly Hills in order for him to experience a real-life version of the movie Beverly Hills Smelly Turd.",Entertainment
