Headline,URL,Year,Content
Brian Blessed to Become Regular Fixture in All Maternity Wards,https://www.dailysquib.co.uk/health/14752-brian-blessed-to-become-regular-fixture-in-all-maternity-wards.html,2015,"“And another one!” Brian Blessed roars as the seventh baby is delivered popping out of its mother.
There are smiles all around as he expertly bites into the umbilical cord and spits it into a bin in the corner of the room whooping with joy.
Brian Blessed is now a regular in maternity wards across England, Scotland and Wales and his roaring voice can be heard welcoming babies into the world from Land’s End to John O’Groats.
“I won’t have a baby if Brian’s not there to do the honours, he’s a blessing,” Nina Carmichael, 26, from Llandudno told her local newspaper."
Processed Meat Report Can Give You Cancer,https://www.dailysquib.co.uk/health/15490-processed-meat-report-can-give-you-cancer.html,2015,"“If you read this report whilst eating a bacon sarnie with oodles of brown sauce dripping down your chin, there’s an even bigger chance you will get cancer,” Dr. Rhanjita Singh who wrote the report revealed.
So, what sort of cancer will you get if you read the report or you eat processed meat?
“Probably cancer of the arse hole. That’s where the processed meat goes and stays, or you could get cancer of the eyeballs, I know it sounds rather gruesome but I’m just reporting from the report I wrote whilst wearing special glasses. It doesn’t matter anyway because everything these days gives you cancer,” Dr. Singh added."
"Britain’s 9,000 Homeless Veterans to Get £150 Taxi Rides",https://www.dailysquib.co.uk/health/13418-britains-9000-homeless-veterans-to-get-150-taxi-rides.html,2015,"You may have fought for your country, been shot up, eaten some shrapnel in the leg, lost your arms, now you’re on the streets, abandoned and alone.
In Britain today there are over  9,000 homeless veterans  and there is hope yet for them.
The government is going to put them up in nice hotels and give them £150 taxi rides.
Not only that, they will all get a nice cup of piping hot tea and some scones for as long as they want, the government has announced."
Experts: Why Climate Change/Overpopulation Cannot Be Solved With China and India Growth,https://www.dailysquib.co.uk/health/13211-experts-why-climate-changeoverpopulation-cannot-be-solved-with-china-and-india-growth.html,2015,"As long as China and India continue to expand their population there is little or no chance of any form of respite for the earth’s climate, irrespective of any measures that may be implemented by responsible Western developed nations.
China currently has a population of 1,268,853,362 whilst India has 1,004,124,224 growing daily. These two nations are pumping out vast amounts of noxious, poisonous gases into the atmosphere, and contributing to pollution that defies measurement causing irreparable damage to the ozone and environment.
The term climate change is synonomous with over-population, they are one and the same. Overpopulation contributes to increases in carbon gases, pollution and destruction of the environment and finite resources.
Malthusian Nightmare
How do we tackle the problem of overpopulation?
The respective governments involved must increase the methods and technique of population control by speeding up sterilisation, abortion, euthanasia, contraception. Compulsory sterilisation is also an option if populations are not decreased sufficiently, and there are programs in India already enforcing this technique.
Every person in China and India wants a top-of-the-range SUV to drive. They want what they see in wealthy nations. They want to live the Western idealistic lifestyle.
The proliferation of war is another technique to reduce populations as well as instances of disease and viruses, whether man-made or natural. These techniques, however are intermittent and not consistent methods of population reduction.
Until the population of these polluting countries are decreased by large numbers, the planet and its resources are in danger, as is the rest of the responsible population of other nations.
For the planet to survive, these offending nations must implement an immediate ban on breeding, as strong as this may sound, if this is not implemented immediately, the rest of the earth’s environment has little or no chance of survival as pollution spreads through the atmosphere.
Chinese and Indian pollution encompasses the entire globe and is a direct threat to the environment and all life on planet earth."
Corbyn Regurgitates Mush During Labour Conference,https://www.dailysquib.co.uk/health/14215-corbyn-regurgitates-mush-during-labour-conference.html,2015,"Comrade Corbyn was speaking about the delightful food at the conference and how the menu is modelled on his five-year plan for the populace when he comes to power. Pity the mush did not quite agree with the comrades palate.
“Comrades, I had the most delightful mush for lunch, and as your leader I eat the same food as you will be eating for the rest of your sorry miserable lives once I become Soviet Britain’s comrade in chief.”
During the speech, the Labour leader was seen convulsing and holding his stomach when steaming hot bubbling mush erupted from his gullet splattering the podium spectacularly.
A smiling commissar immediately rushed to the ailing leader and wiped the foul smelling gunk from his red face.
Bon appetit."
The Dangers of Not Wearing a Seatbelt,https://www.dailysquib.co.uk/health/14021-the-dangers-of-not-wearing-a-seatbelt.html,2015,"Wearing a seatbelt can prevent you being thrown through the vehicle’s wind shield and making a mighty mess all over the windshield or road. If you know this and are still not wearing a seatbelt you’re a bit reckless aren’t you? Think about it, Bang, Crunch, Squash! Not too good eh. Seatbelts should be worn by all passengers, don’t for one second think you are safe at the back of the vehicle either.
The Human Collision
Imagine running as fast as you can – into a wall. It’s all physics innit, when a car stops abruptly, the passengers inside are still moving and unless they’re strapped in then they go for a long very fast ride against hard objects. It’s common sense so use a seatbelt.
A properly worn safety belt keeps that second collision – the human collision – from happening.
Wear It Right
“Properly worn” means with both straps snugly fitted to transfer the impact of the collision to the parts of your body that can take it – your hipbones and shoulder bones protecting your chest.
What’s Your Reason For Not Wearing One?
“I don’t need a belt – I’ve got air bags.” Lucky you! An air bag or two increases the effectiveness of a safety belt by 40 percent. But air bags were never meant to be used in place of safety belts, since they don’t protect against side impacts.
“It’s just a short journey to my local pub to get blootered then drive back!” Yes, but did you know that 80% of accidents occur within a short distance from your home?
“I don’t need a seatbelt because I’m invincible when on cocaine and I’m a good driver as well.” Sure you are. Will you be saying that when they’re pulling the steering wheel from your chest cavity?
“I’m like the Stig from Top Gear.” The Stig wears a seatbelt and has a roll cage and a helmet, you don’t.
“I’m like Richard Hammond.” You definitely will need a seatbelt then."
Have You Got Drug-Resistant Super Gonorrhoea?,https://www.dailysquib.co.uk/health/14058-have-you-got-drug-resistant-super-gonorrhoea.html,2015,"Aye, it’s not only cold, wet and miserable up North, but now there’s an extra little surprise to be found when you take a piss and green slime pops out of your lower urine delivery unit, oozing and spitting like an angry dragon with indigestion on steroids.
Friday night down in Newcastle, the scantily clad munters are out on force, and the blokes are raring to go in their white t-shirts and wild-eyed boozed up stares. The town centre’s bustling under the weight of religious lager fuelled sex, violence and drugs, and to add to the mix, a deadly strain of super gonorrhoea.
You may think it’s just another Friday night, but in the morning you wake up next to an old boiler, vomit into a half eaten doner kebab and make the long journey towards the toilet. This time, something’s wrong and you feel it in your nether regions, yes a burning sensation that you’ve never felt before except that one time you accidentally mixed up the vapo rub instead of the nivea and had a jostle before realising it was too late. Your meat pump seems like it’s on fire, you shout out in agony which invariably wakes up the girl who just gave you super gonorrhoea. Then, to top it off, instead of pee pee coming from your shogun’s eye, an eruption of different sorts shoots all over the toilet seat cover, it’s green slime, looking and smelling like something dredged up from the inside of a Chinese takeaway restaurant’s fridge.
“Something wrong luv?”
“Yeah, you gave me drug resistant super gonorrhoea. Thank you!”"
Why 2013 Was Great Year For the Spread of Syphilis and Super Gonorrhoea,https://www.dailysquib.co.uk/health/54735-why-2013-was-great-year-for-the-spread-of-syphilis-and-super-gonorrhoea.html,2024,"In the year 2000, according to CDC records and a  recent study , syphilis was on the way out and nearly eradicated, then along came the dating apps like Tinder and gay app Grindr in 2012. Sexually transmitted diseases like syphilis, gonorrhoea and HIV were suddenly back in vogue and began to rise again thanks to the dating apps capitalising on the ease of casual hook-ups and 2013 was a bumper year for a massive increase in STI spreading far and wide.
Today in 2022, syphilis is at the same level as it was in the 1950s thanks to the success of  casual dating apps .
With an added drop in condom use especially with promiscuous gay men, HIV and AIDS are also increasing at an exponential level, but modern drugs halt certain death amongst this group of society.
Syphilis if not treated can cause multiple health problems and can lead to death.
All of this data points towards a fundamentally sick, masochistic society that even creates apps to increase its own level of sickness. The only positive is that nature finds a way to reduce the population level in a natural controlled manner and utilises human stupidity and greed to its advantage.
Overpopulation is a very serious problem, and thankfully, dating apps created by greedy exploitative developers are a wonderful cure to the Malthusian Nightmare scenario plaguing the globe currently."
Killing You Softly With Light,https://www.dailysquib.co.uk/health/28363-killing-softly-light.html,2018,"It’s not only the supermarket food wrapped in plastics that kill you, or the so-called safe bottled water you drink, but now we can add the  LED streetlights  to the mix.
What better way to reduce the  population  through such an innocent medium — light.
Modern street lamps are triggering thousands of cancer cases, according to new research from the University of Exeter by Dr Alejandro Sánchez de Miguel.
A study found men living in large cities are twice as likely to develop prostate cancer while women are one and a half times more prone to breast cancer.
Scientists blame the worrying trend on the ‘blue light’ emitted by LEDs. This reduces levels of melatonin which controls the body clock.
Original Spanish study  – Evaluating the Association between Artificial Light-at-Night Exposure and Breast and Prostate Cancer Risk in Spain (MCC-Spain Study)
Ariadna Garcia-Saenz , Alejandro Sánchez de Miguel , Ana Espinosa , Antonia Valentin , Núria Aragonés , Javier Llorca , Pilar Amiano , Vicente Martín Sánchez , Marcela Guevara , Rocío Capelo , Adonina Tardón , Rosana Peiró-Perez , José Juan Jiménez-Moleón , Aina Roca-Barceló , Beatriz Pérez-Gómez , Trinidad Dierssen-Sotos , Tania Fernández-Villa , Conchi Moreno-Iribas , Victor Moreno , Javier García-Pérez , Gemma Castaño-Vinyals , Marina Pollán , Martin Aubé , and Manolis Kogevinas
Add into the mix the damage to human cells that  radiofrequency energy  does every time you use your mobile phone or are near a mast; and the Bisphenol A you ingest from all supermarket products, and the multiple types of engineered chemicals you take in from processed foods, the chemtrails, as well as the micro-carbons you breathe in from traffic fumes, naturally, the human body reacts to this — it creates changes in your body — tumours, anomalies, grotesque mutations. In short — Cancer.
Who is doing this? …and why?
And from this we have created an illusion, so large, so vast it will escape their perception.
Those who will see it will be thought of as insane. We will create separate fronts to prevent them from seeing the connection between us. We will behave as if we are not connected to keep the illusion alive. Our goal will be accomplished one drop at a time so as to never bring suspicion upon ourselves. This will also prevent them from seeing the changes as they occur.
We will always stand above the relative field of their experience for we know the secrets of the absolute.
We will keep their lifespan short and their minds weak while pretending to do the opposite. We will use our knowledge of science and technology in subtle ways so they will never see what is happening. We will use soft metals, ageing accelerators and sedatives in food and water, also in the air. They will be blanketed by poisons everywhere they turn.
The soft metals will cause them to lose their minds. We will promise to find a cure from our many fronts, yet we will feed them more poison. The poisons will be absorbed through their skin and mouths, they will destroy their minds and reproductive systems.
The poisons will be hidden in everything that surrounds them, in what they drink, eat, breathe and wear. We must be ingenious in dispensing the poisons for they can see far. We will teach them that the poisons are good, with fun images and musical tones. Those they look up to will help. We will enlist them to push our poisons. With sugar they shall be sweetened on their way to early extinction.
They will see our products being used in film and will grow accustomed to them and will never know their true effect. When they give birth we will inject poisons into the blood of their children and convince them it is for their help. We will start early on, when their minds are young, we will target their children with what children love most, sweet things.
When their teeth decay we will fill them with metals that will kill their mind and steal their future. When their ability to learn has been affected, we will create medicine that will make them sicker and cause other diseases for which we will create yet more medicine. We will render them docile and weak before us by our power. They will grow depressed, slow and obese, and when they come to us for help, we will give them more poison.
We will focus their attention toward money and material goods so they many never connect with their inner self. We will distract them with fornication, external pleasures and games so they may never be one with the oneness of it all. Their minds will belong to us and they will do as we say. If they refuse we shall find ways to implement mind-altering technology into their lives. Virtual reality, apps, mobile phones, websites, streaming media, social networks, games, eventually leading them to be microchipped in their brains which they will accept wholeheartedly without question.
We will use fear as our weapon. We will establish their governments and establish opposites within. We will own both sides. We will always hide our objective but carry out our plan. They will perform the labour for us and we shall prosper from their toil.
Our families will never mix with theirs. Our blood must be pure always, for it is the way. We will make them kill each other when it suits us. We will keep them separated from the oneness by dogma and religion. We will control all aspects of their lives and tell them what to think and how. We will guide them kindly and gently letting them think they are guiding themselves.
We will foment animosity between them through our factions. When a light shall shine among them, we shall extinguish it by ridicule, or death, whichever suits us best. The hate will blind them totally, and never shall they see that from their conflicts we emerge as their rulers.
They will be busy killing each other. They will bathe in their own blood and kill their neighbours for as long as we see fit.
We will benefit greatly from this, for they will not see us, for they cannot see us. We will continue to prosper from their wars and their deaths. We shall repeat this over and over until our ultimate goal is accomplished. We will continue to make them live in fear and anger though images and sounds. We will use all the tools we have to accomplish this. The tools will be provided by their labour. We will make them hate themselves and their neighbours.
We will always hide the divine truth from them, that we are all one. This they must never know! They must never know that colour is an illusion, they must always think they are not equal. Drop by drop, drop by drop we will advance our goal. We will take over their land, resources and wealth to exercise total control over them. We will deceive them into accepting laws that will steal the little freedom they will have. We will establish a money system that will imprison them forever, keeping them and their children in debt.
When they shall band together, we shall accuse them of crimes and present a different story to the world for we shall own all the media. We will use our media to control the flow of information and their sentiment in our favour. When they shall rise up against us we will crush them like insects, for they are less than that. They will be helpless to do anything for they will have no weapons.
The truth will be hidden in their face, so close they will not be able to focus on it until its too late. Oh yes, so grand the illusion of freedom will be, that they will never know they are our slaves.
When all is in place, the reality we will have created for them will own them. This reality will be their prison. They will live in self-delusion. When our goal is accomplished a new era of domination will begin. Their minds will be bound by their beliefs, the beliefs we have established from time immemorial."
Will 2018 Be the Year You Stick to Your Healthy Resolution?,https://www.dailysquib.co.uk/health/26980-will-2018-year-stick-healthy-resolution.html,2017,"And as you overindulge over the holidays this time out, you’re probably telling yourself that as soon as January hits you’ll get healthy. We’ve all been there.
Those grand plans of exercising every day and eating healthy food tend to start off so well. Some people even contemplate attempting “Dry January.”
But by the time February hits, the takeaway menus are back out and the gym membership has been swept under a carpet somewhere.
So how can you make a real go of the fitness and dieting in 2018? Check out this guide for some easy tips.
Start Getting Creative in the Kitchen
Healthy eating and enjoyable eating aren’t often thought about in the same sentence.
Or at least that’s the case for people who haven’t managed to step onto and keep hold of the fitness ladder for more than a few months.
Those who do live a healthy lifestyle and eat the right foods day in, day out, will tell you that  these dishes have become their comfort foods  and they get real pleasure from eating them.
In 2018, there’s no need to say goodbye to the comfort foods that you loved in 2017. According to Deliveroo’s list of popular foods for the soul, American classics like burgers and fries are the most comforting.
These aren’t ideal for your new regime, but there are ways of still enjoying them by using fresh and lean ingredients. You could easily make these foods at home.
For the burgers, grind up some meat with a minimal fat content and season it to your liking before shaping it into patties and grilling it.
Top with fresh lettuce, tomatoes, and goats’ cheese for a healthy burger. When making the fries, chop up some sweet potatoes and cook them in olive oil.
There you have it; some junk food classics revamped for your new way of life.
Get Some Fitness Equipment at Home
Many people fork out on gym memberships in January  and, when the motivation diminishes a few months later, they fail to get their money’s worth.
For some, just biting the bullet and going to the gym on a daily basis is the major stumbling block, and if they were there they would find it easy to get into the zone.
So how about bringing the gym to you? The price that some fitness centres charge these days is a small fortune, so using that money to buy fitness equipment for your own home could be a logical alternative.
Seeing the treadmill or rowing machine will remind you to work out, and you could even do it while watching your favourite shows on TV.
Another added bonus is the fact that you won’t have to share the space with all the self-obsessed selfie-takers usually found in gyms.
Getting into shape this New Year will take some motivation, but if you get into good habits at home then it will be easier to maintain.
And also, if you fork out money on gym equipment you don’t want it to end up gathering dust."
