Title,URL,PublishedDate,Content
Gwyneth Paltrow’s Vagina-Scented Candle Is Reportedly Giving People Herpes in Their Nasal Passages,https://empirenews.net/gwyneth-paltrows-vagina-scented-candle-is-reportedly-giving-people-herpes-in-their-nasal-passages/,2020-01-25T22:17:42+00:00,"Gwyneth Paltrow, who has been shilling garbage Goop products for years – items that have been proven multiple times to be a sham at best, and potentially life-threatening in their bad pseudoscience at worst. But her latest endeavor, Goop candles that smell like her former A-list vagina, have added a new treat for people dumb enough to buy it – the candles are giving people herpes in their nose.
Paltrow, perhaps best known for playing Robert Downey Jr.’s love interest, Pepper Potts, in the
Iron Man
films, has fallen to the levels of midnight pitchman over the last few years, and for some reason thought that selling candles scented specifically like her putrid pussy would be hot sellers. Somewhat confusingly, she appears to be right, as the candles are selling, but as they are made from the “natural juices” of Paltrow’s poon, they smell like her vagina, and are also causing people who burn the candle too long to contract herpes.
“I first noticed that I had a weird bump on the outside of my nose,” said Kirk Brown, who has estimated he’s spent around $2,000 on several hundreds of Paltrow’s candles. “I thought it was a pimple. It happens. After it got severe, and I started to feel the bumps in my nose, I went to the doctor. A test confirmed it was nose herpes. I didn’t even know it was possible!”
“I only burned one of her candles for a very short time,” said Melissa Rogers of Atlanta. “I got it as a gag gift from a co-worker at Christmastime. It smelled horrendous; like a cross between stale pee and the cheese you scrape out of an infected vagina. I was not a fan. I became less of a fan when it became clear that I was getting nose herpes. It’s hugely embarrassing.”
Multiple people say they have had similar experiences, and a lawyer has been contacted in at least one of the cases in hopes of a class-action suit. Reps for Gwyneth Paltrow’s vagina could not be reached for comment."
"Man In Coma For 26 Years Wakes Up, Decides To Be Medically Induced For An Extra Year So He’ll Be Eligible For Retirement",https://empirenews.net/man-in-coma-for-26-years-wakes-up-decides-to-be-medically-induced-for-an-extra-year-so-hell-be-eligible-for-retirement/,2019-03-31T21:39:39+00:00,"Richard Atkins, 64, has been in a coma for the last 26 years, the result of a hit-and-run car accident that left him hospitalized. Although doctors had told Atkins’ wife, Miranda, that they believed if he ever woke up that Richard would be a complete “vegetable,” Miranda decided not to pull the plug.
“I’m so glad I listened to my gut, I knew he’d wake up eventually,” said Miranda. “I am concerned about his choice to be put back under though.”
Doctors were flabbergasted that Atkins woke up last Tuesday morning, cracking jokes and asking for lunch.
“He is a marvel of the medical world, that’s for sure,” said Dr. Francis Joseph. “I’ve been treating Atkins as his doctor for the last 20 years of his 26 years in a comatose state, and I never expected this. He woke up, was fine, and didn’t seemed at all bothered he’d been in a coma for nearly 3 decades. In fact, he asked to be put back under for another year so he’d be eligible for his social security and retirement benefits.”
Doctors say that they initially declined to give in to Atkins’ request, but eventually were persuaded.
“I told them that I had memories of being sexually abused while in my coma by hospital staff,” said Atkins before they put him back under. “Don’t tell anyone that it was total crap, I don’t remember a thing. I just don’t want to work again. Work sucks.”"
"Man Hospitalized After Getting Battery Stuck In His Anus, Says He Thought It Would ‘Give Him More Energy’",https://empirenews.net/man-hospitalized-after-getting-battery-stuck-in-his-anus-says-he-thought-it-would-give-him-more-energy/,2019-03-31T21:52:11+00:00,"A Florida man was taken to a Miami hospital after reportedly getting a large, D-cell battery stuck in his anus. The man claimed that he thought that the battery might give him the “energy boost” he would need to get through the rest of his day at work.
Doctors were able to extract the battery without seriously invasive surgery, but warned that putting things into your anus can “cause serious, irreparable harm.”
“This man, Joe Kennedy, who asked not to be publicly named, is very lucky,” said Dr. Frank Grates, the surgeon who extracted the battery. “He certainly could have done a lot worse. Thankfully, in this case, he went larger, and it was easy to grab. Had he gone with an AAA battery or something, and we might still be digging around in his colon.”"
"Man Buys Over $10,000 Worth of Girl Scout Cookies, Dies Trying to Eat Them All Himself",https://empirenews.net/man-buys-over-10000-worth-of-girl-scout-cookies-dies-trying-to-eat-them-all-himself/,2019-02-28T22:40:45+00:00,"A Florida man has died after he attempted to eat over $10,000 worth of Girl Scout cookies, which is approximately 1500 boxes.
John Richards, 43, died after his 87th box, when he suffered both a massive stroke and a major heart attack simultaneously.
“I have no idea what made that fat shit think he could finish off all those boxes, or why he even tried,” said Marlene Richards, 40. “I’ve been married to John for 20 years, and on his ass about his weight pretty much this whole time. When he heard that the Boy Scouts were going to allow girls in, he told me he thought that the cookies would ‘go extinct,’ and he wanted to get all he could. Dumb bastard.”
Police say they had to hire a team of movers to get Richards’ body out of the home, as he “weighed close to that of a grand piano.”
“The thing that really pisses me off is that he cashed out his life insurance policy to buy the cookies,” said Marlene Richards. “What in the hell am I going to do now? Eat the rest of these cookies for the rest of my life? God, I hate that fat lard.”"
Want Your Baby To Have Beautiful Green Eyes? Eat Your Boogers During Pregnancy,https://empirenews.net/want-your-baby-to-have-beautiful-green-eyes-eat-your-boogers-during-pregnancy/,2019-01-31T22:23:03+00:00,"It all started as a simple thread in a well-known Spanish forum called “forocoches,” where someone posted the following question: “If I eat snot, will my children have green eyes?”
The post went viral around the world generating discussion. That’s why researchers at Harvard University in Boston, Massachusetts decided to study the effect – expecting to find no correlation. Their findings turned out to be extremely surprising.
They concluded that swallowing snot increases 80% the chances of green eyes for the baby.
“Believe it or not, we already knew about some benefits of eating your own boogers,” said Dr. Sam Not, who headed up the research. “It actually has health benefits, including boosting your immune system. What we didn’t know was that it directly correlated to eye color in the fetus of a pregnant woman. Our findings were astounding.”
Unfortunately, the news broke quite quickly, and has since become viral on social media. With doctors advocating for snot eating, many mothers-to-be are asking the really tough questions, such as “does snot contain gluten?” and ”If I’m a vegan, can I eat my snot?”
“Sorry to say, that medical science has not quite caught up to those questions yet,” said Dr. Not."
Planned Parenthood Announces They Will Stop Performing Abortions At All Clinics Nationwide,https://empirenews.net/planned-parenthood-announces-they-will-stop-performing-abortions-at-all-clinics-nationwide/,2019-02-28T22:20:18+00:00,"In a press release from Planned Parenthood, the non-profit company announced today that they would be ceasing to perform any abortions at any of their clinics throughout the country. The reason, they say, is not because of increased pressure from religious groups or right-wing nutjobs, but because they just really are sick of it being their “sole focus” in the media.
“We do so many amazing things for women, and for families in genera,” said Planned Parenthood CEO Marge Brock. “All anyone ever talks about is ‘gee, do you know how many abortions the perform,’ and that sort of thing. Frankly, it’s taking away all the resources of our other services, and we don’t have time to bother.”
Brock says that they will continue to council women on where they can get safe, medically performed abortions should they ask, but they won’t do anything in their facilities.
“We think this change will be great, and allow us to let people know about all the good we do,” said Brock. “Maybe now all these assholes will stop standing outside our offices with badly written signs and hatred, and they can go back to the internet where trolls belong.”"
California Passes Law to Completely Ban Cigarette Sales,https://empirenews.net/california-passes-law-to-completely-ban-cigarette-sales/,2019-01-31T22:32:35+00:00,"Lawmakers in California have passed a new law through the House that will completely abolish the sale of cigarettes throughout the state, according to reports. The new regulation, which will cost the state billions in tax revenue, will supposedly save upwards of 2 million lives per year.
“We have known forever that smoking is stupid shit, so why are we still selling cigarettes? Why is this still a thing?” said Representative John Lyman – D, California. “There is absolutely no reason to smoke. None. It doesn’t have a single actual benefit. It’s not like smoking weed, which, let’s face it, is awesome. Banning the sale will save lives, and help children not pick up the habit.”
The law will not go into effect until January of 2020, but Lyman says he hopes that many stores stop selling before then.
“I doubt they will, but it really is something we’re hoping the public helps us with,” said Lyman. “I mean shit, this isn’t Alabama. We’re a lot more sophisticated here.”"
Study: Showering Daily Decreases Penis Size,https://empirenews.net/study-showering-daily-decreases-penis-size/,2019-01-31T22:16:38+00:00,"A study from a prestigious Japanese university proves that the size of the penis decreases proportionally according to the number of showers a man takes. The study, which was initialized by Dr. Eypee Frealy, found that in a sample size of over 1000 men of various ages, their penis size would decrease based on the number of showers they took.
Dr. Frealy explained that the phenomenon happens due to two separate factors – Washing causes friction that causes erosion at the area, and excessive hydration.
“In one instance, an excessively clean man had completely lost his penis up inside his body. He showered and washed 5 to 6 times each day for a year. His OCD completely caused his penis to disappear,” said Frealy. “It’s a rarity, but it happened.”"
Young Boy In Critical Condition After Apple AirPods Explode In His Ears,https://empirenews.net/young-boy-in-critical-condition-after-apple-airpods-explode-in-his-ears/,2019-04-30T22:26:32+00:00,"A young boy in Florida has being hospitalized after his brand new Apple AirPod earphones allegedly exploded in his ear.
Caleb Mitchell, 8, has been hospitalized with 2nd degree burns on his face and inside of his ears after his Airpods exploded. According to Mitchell’s parents, the young boy is lucky to be alive, but is not out of the woods yet.
“I can’t believe something like this could happen,” said Josiah Mitchell, a standup comedian and the boy’s father. “I didn’t think they could get hot or explode or anything like that. Yet
hear
we are. Get it?
Hear?
Because Caleb is pretty much deaf now. Oh shit, I crack myself up.”
Caleb supposedly always had his Airpods in his ear, other than the times where he was charging them. He would even sleep with them, and wear them even when not listening to music. “Airpod owners are obsessed” says Candice James, a therapist, “Airpod owners really think they’re hot shit because their headphones don’t have wires. Wow, you’re so cool. Fucking losers. I just feel bad for the boy here because his parents indoctrinated him into wanting these in the first place.”
As Caleb is recovering, technology experts warn Airpod owners to not use them so much.
“Just throw them out,”  said tech expert Lee Xiu, “You’ll be a better person, Airpod owners are annoying.”"
New Breed of Mosquito Has Been Found To Impregnate Women After Biting,https://empirenews.net/new-breed-of-mosquito-has-been-found-to-impregnate-women-after-biting/,2019-04-30T22:14:43+00:00,"The U.S. government warn of three cases in Florida of people affected by the so-called “mosquito chirulí,” able to make a woman pregnant with just a single bite. The cases have been located in Miami, Tallahassee, and Palm Beach. and those affected have been quarantined while the cases are investigated.
It is unknown how it was possible for the “chirulí mosquito” to reach the United States, but the authorities are already taking the necessary measures to prevent more cases from occurring. An appeal is made to all women of childbearing age who feel the bite of a mosquito to go immediately to their doctor to receive the Plan B, morning after pill."
