title,content,url
Suspected robber shot dead by off-duty cop,"MABALACAT, Pampanga An off-duty policeman shot and killed a suspected robber in nearby Mexico town on Friday, April 25. In a statement on Saturday , the Police Regional Office 3 said the father of Patrolman Pat Rey Lemuel Zabat saw a man breaking into the house of his neighbor at Malino Village around 3:45 a.m. The policemans father immediately notified his son about what he saw and the latter proceeded to the crime scene. READ: Ex-policeman diesfighting robbers in Rizal The homeowner, who was awakened by noise, stood up from his bed and caught the suspect in the act of taking two mobile phones. Startled, the suspect quickly tried to flee but he was confronted by Patrolman Zabat. The PRO3 said the suspect tried to draw a handgun tucked in his waist, prompting the policeman to shoot him. The robber was hit in the abdomen and died while being taken to the hospital. The regional police did not say what caliber of gun the suspect, who remains unidentified, allegedly tried to pull out from his waistband. Subscribe to our daily newsletter By providing an email address. I agree to the Terms of Use and acknowledge that I have read the Privacy Policy .",https://newsinfo.inquirer.net/2055957/suspected-robber-shot-dead-by-off-duty-cop
"3 nabbed for allegedly stealing animal feeds, other goods worth P529,000","Authorities arrest three men for alleged qualified theft of animal feed and various products valued at P529,000 in Orani, Bataan on Monday, April 21, 2025. MANILA, Philippines Three men were arrested in Bataan province for allegedly stealing animal feed and various products valued at a total of P529,000, the PNP Criminal Investigation and Detection Group said. In a statement on Friday evening, the PNP CIDG identified the suspects as trucking company helpers Rodolfo, Jhofrey and driver Joe. They were nabbed on Monday in Barangay Doa in Orani town. According to the police, it was the three suspects trucking company that filed a complaint against them after discovering that shipments to its clients were underweight. Investigation revealed that the arrested suspects are allegedly selling the pilfered/stolen animal feed products within Bataan at [a] significantly reduced [price], the CIDG said. A 50-kilogram sack was being sold for as low as P700, far below standard retail price, raising concerns about the integrity of the products and their source, it added. READ: CIDG nabs 6 persons in Quezon fuel theft During the arrest, authorities confiscated 400 sacks of animal feed, seven sacks of assorted products, a plastic grain sampling tube, a weighing scale, a utility vehicle and a wing van truck. The CIDG further said the suspects face charges before the National Prosecution Service for qualified theft under Article 310 of the Revised Penal Code. Subscribe to our daily newsletter By providing an email address. I agree to the Terms of Use and acknowledge that I have read the Privacy Policy .",https://newsinfo.inquirer.net/2055964/3-nabbed-for-allegedly-stealing-animal-feeds-other-goods-worth-p529000
"Laguna cops seize 1.6M worth of shabu, kush, gun from 10 suspects","LUCENA CITY, Philippines Police arrested 10 suspected drug traffickers and seized more than 1.6 million worth of shabu , kush , and an illegal firearm in separate buy-bust operations over the weekend in Laguna province. In a report, the Calabarzon Police Regional Office said operatives in Bian City arrested at 12:05 a.m. Sunday two alleged drug pushers, identified only as Edwardo and Rosalinda, after they sold shabu to an undercover officer in Barangay Ganado. Authorities said they confiscated seven sachets containing suspected methamphetamine, weighing 87.4 grams and valued at 594,320, along with a motorcycle believed to have been used in their activities. Both suspects are classified as high-value individuals , referring to financiers, traffickers, manufacturers, importers of illegal drugs, or leaders and members of drug syndicates. Earlier, around 4:30 a.m. Saturday, the same police team nabbed another HVI, Rafael, in a separate operation in Ganado. Seized from him were six sachets of suspected shabu weighing 57 grams, worth 387,600. In Alaminos town, police arrested at 6:27 p.m. Saturday Ramil, Ringo, and Drixon in Barangay San Agustin. Seized were three sachets and one knot-tied plastic bag containing suspected shabu valued at 170,000, and an undocumented 9mm pistol loaded with two bullets. Earlier on Saturday in the same village, authorities also arrested Apolinario and Flordeliza, both identified as street-level pushers. They reportedly yielded suspected shabu valued at 68,000. In San Pedro City, police arrested Jozef in a drug bust in Barangay Nueva at 4:28 a.m. Saturday. The suspect was allegedly caught with four sealed plastics containing about 200 grams of kush worth 300,000. Meanwhile, in Los Baos town, anti-narcotics operatives arrested street pusher Gio at 1:10 a.m. Sunday after he sold 500 worth of suspected shabu to a poseur-buyer in Barangay Mayondon. Authorities recovered additional sachets of suspected shabu valued at 103,360. All suspects are now under police custody and will face criminal charges. READ: Arrest of 4 drug suspects in Laguna yields P340,000 worth of shabu, guns Subscribe to our daily newsletter By providing an email address. I agree to the Terms of Use and acknowledge that I have read the Privacy Policy .",https://newsinfo.inquirer.net/2056236/laguna-cops-seize-%e2%82%b11-6m-worth-of-shabu-kush-gun-from-10-suspects
Joel Chua prefers campaigning over minding Sara Dutertes remark,"TACLOBAN CITY, Leyte Manila 3rd District Rep. Joel Chua prefers to focus on his reelection bid rather than discuss Vice President Sara Dutertes derogatory remark about shoving an apple down his throat until he dies. In a message to INQUIRER.net on Sunday, Chua said he would focus on his campaign first, especially with two weeks remaining before the 2025 midterm elections. Right now, I would focus first on my campaign. We have two weeks to go, Chua said when asked if he would seek legal action over Dutertes statements, which some consider a threat. Well stick to the campaign so we would not lose focus, he added. Chua, chairperson of the House of Representatives committee on good government and public accountability, was the subject of Dutertes speech during the campaign rally in Manila for the slate of former Mayor Isko Moreno. Morenos candidate for the seat of Manilas third congressional district is Councilor Apple Nieto. In her speech, Duterte said that she is giving the apple to Nieto for her to shove it down Chuas throat until he dies. READ: Sara Duterte vents anger at Rep. Chua during rally in Manila Duterte also referred to the Snow White fairytale, where the princess was sent to a deep, cursed sleep after biting a poisoned apple. Ang apple na yan, ibigay mo kay Snow White Joel Chua. Alam niyo, di ba si Snow White kumain ng apple tapos nabilaukan? Bigay mo yan sa kanya, saksak mo doon sa bibig niya, Duterte said. Chuas committee probed the issues hounding the Office of the Vice President and the Department of Education under Duterte. During the course of the probe, irregularities regarding the OVP and DepEds confidential fund expenditures were discovered. At one point in the hearings, Antipolo City 2nd District Rep. Romeo Acop noticed that one of the acknowledgement receipts for the OVPs CF expenditures was signed by a certain Mary Grace Piattos, whom he said bears a name similar to a restaurant and a potato chip brand. ARs are proof of payment, or that funding for projects reached its intended beneficiaries, and for the case of OVP and DepEd, these are informants who provided confidential information to authorities. Later on, Lanao del Sur 1st District Rep. Zia Alonto Adiong showed two ARs one for OVP and another for DepEd which were both received by a certain Kokoy Villamin. However, the signatures and handwriting used by Villamin in the two documents differed. Piattos and Villamins names did not appear on the Philippine Statistics Authority database. The committee also heard accusations from former DepEd undersecretary Gloria Jumamil Mercado, who admitted that she received envelopes containing money from Duterte, which she thinks may have been meant to influence her. Mercado used to head the DepEds procuring division. The committees findings then became the backbone of three impeachment complaints against Duterte, filed before the House in 2024. On February 5, 2025, the House impeached Duterte after 215 lawmakers filed and verified a fourth complaint. The articles of impeachment were immediately transmitted to the Senate, as the 1987 Constitution requires a trial to start forthwith if at least one-third of all House members in this case, 102 out of 306 have signed and endorsed the petition. READ: House impeaches SaraDuterte, fast-tracking transmittal to Senate Under the constitution, the Senate will act as an impeachment court with sitting senators being judges. Trial, however, has yet to start as the articles of impeachment were not forwarded to the Senate plenary before the session ended on February 5, which means Congress would have to reconvene first after the election season, or through a special session to discuss the matter. Duterte has also poked fun at Manila 2nd District Rep. Rolando Valerianos appearance, claiming that the lawmaker accuses her of everything without any evidence. Subscribe to our daily newsletter By providing an email address. I agree to the Terms of Use and acknowledge that I have read the Privacy Policy . Valeriano was one of the lawmakers who filed a resolution asking Chuas committee to start a probe into Dutertes CF issues.",https://newsinfo.inquirer.net/2056240/joel-chua-prefers-campaigning-over-minding-sara-dutertes-remark
DBM chief Pangandaman pushes Marcos education drive in Mindanao,"MANILA, Philippines Budget Secretary Amenah Mina Pangandaman emphasized the importance of investing in education, especially in Mindanao, during the launch of the Pay IT Forward: A Digital Transformation Advocacy in Manila on April 25, 2025. The advocacy project, in partnership with Department of Budget Management , iAcademy, RepublicAsia Media, and GMA Kapuso Foundation, aims to spark progress and contribute to the transformation of the countrys education sector through digital empowerment. We really need to keep doing something, investing on education of our children to ensure na may future po tayo, Pangandaman said. If we dont take care of our children, wala pong mangyayari sa Pilipinas. Uplifting the status of education in the country is a legacy that President Bongbong Marcos wants to leave behind, she continued. To kickstart the initiative, initial efforts will involve providing internet access in select educational institutions, offering free digital skills training to educators, and donating tablets to schools/students and other school supplies to enhance their learning experience. The awarding of equipment to school and students is set to take place in May in Marawi, Lanao del Sur. Sobrang tagos sa puso ko ang anumang proyekto o programa na makakatulong sa pagpapaunlad ng Marawi. As a lot of people know, I am from Mindanao. And since I started my role at the DBM, I continue to make sure that I represent and give Mindanao a voice in the cabinet, in the executive, and in all possible decisions. I am from Marawi, and we all know that our city is still undergoing rehabilitation, at kailangan na kailangan po natin ng tulong para dyan. I am happy that projects like this providing internet access and technological equipment to our youth in far-flung areas reach even BARMM, especially Marawi, Pangandaman said. Subscribe to our daily newsletter By providing an email address. I agree to the Terms of Use and acknowledge that I have read the Privacy Policy .",https://newsinfo.inquirer.net/2056248/dbm-chief-pangandaman-pushes-marcos-education-drive-in-mindanao
DOLE issues pay rules for Labor Day,"MANILA, Philippines The Department of Labor and Employment has issued a reminder on the proper payment of wages for employees on Labor Day, May 1. DOLE released the pay rules through Labor Advisory No. 04, series of 2025, signed by Labor Sec. Bienvenido Laguasma. Under President Ferdinand Marcos Jr.s Proclamation No. 727, Labor Day is declared a regular holiday, which means all non-essential work and classes are suspended on that date. READ: LIST: 2025 holidays regular, special non-working days According to DOLE, if an employee does not work, employers are mandated to pay 100 percent of their employees wage for that day, provided that the employee reports to work or is on leave of absence with pay on the day immediately preceding the regular holiday. Where the day preceding the regular holiday is a non-working day in the establishment or the scheduled rest day of the employee, he or she shall be entitled to holiday pay if the employee reports to work or is on leave of absence with pay on the day immediately preceding the non-working day or rest day, DOLE said. Meanwhile, those working during the holiday are entitled to double pay for the first eight hours of their shift, calculated as basic wage x 200 percent. Those working overtime are then to be paid an additional 30 percent of their hourly rate . If the Labor Day falls on an employees rest day and they choose to work, they are entitled to an additional 30 percent on top of their double pay . For any overtime hours worked on that day, they will likely receive an extra 30 percent of the hourly rate, computed as: hourly rate of the basic wage 200 percent 130 percent 130 percent number of hours worked. Subscribe to our daily newsletter By providing an email address. I agree to the Terms of Use and acknowledge that I have read the Privacy Policy .",https://newsinfo.inquirer.net/2056411/dole-issues-pay-rules-for-labor-day
"Taal Volcano records 56 quakes, 14 tremors in past 24 hours","LUCENA CITY Taal Volcano in Batangas continues to exhibit signs of unrest, logging 56 volcanic earthquakes and 14 tremors over the past 24 hours, the Philippine Institute of Volcanology and Seismology reported Monday. In its morning bulletin, Phivolcs said the volcanic tremors lasted between one and two minutes each. From April 8 to 26, Taal Volcano located in the middle of Taal Lake recorded a total of 126 volcanic earthquakes and 34 volcanic tremors, according to agency data. Phivolcs explained that volcanic earthquakes are generated by magmatic processes beneath or near an active volcano, differing from tectonic earthquakes, which are produced by faulting. Volcanic tremors, meanwhile, are continuous seismic signals with low frequencies, typically ranging from 0.5 to 5 Hz, that can last longer than a minute. These tremors may result from the flow of magma or magmatic gas through cracks and vents, overlapping low-frequency earthquakes, or minor eruptions. Phivolcs also reported a weak emission of 956 metric tons of sulfur dioxide from Taals main crater up from 348 metric tons recorded in previous days. No upwelling of hot volcanic fluids or vog was observed during the latest monitoring, the agency said. Phivolcs maintained Alert Level 1 over Taal, warning that the volcano remains in an abnormal state and unrest has not ceased. The agency cautioned that sudden steam-driven or minor phreatomagmatic eruptions, volcanic earthquakes, ashfall, and the accumulation or expulsion of volcanic gases remain possible, posing threats to areas within Taal Volcano Island. Subscribe to our daily newsletter By providing an email address. I agree to the Terms of Use and acknowledge that I have read the Privacy Policy .",https://newsinfo.inquirer.net/2056429/taal-volcano-records-56-quakes-14-tremors-in-past-24-hours
Student caught with P1.7M worth of shabu in Bataan,"BALANGA CITY, Bataan A 28-year-old man who claimed to be a student was arrested Sunday in a buy-bust operation in Barangay Bagong Silang, authorities said. Police Col. Marites Salvadora, officer-in-charge of the Bataan Provincial Police Office, said the operation was conducted following reports of rampant illegal drug activities in the city. Seized from the suspect were 250 grams of suspected shabu , with an estimated street value of P1.7 million. Intelligence sources said the illegal drugs were sourced from nearby Olongapo City and distributed across Bataan province by assigned peddlers. For security reasons, authorities withheld the suspects name and the school or university he claimed to be attending. The suspect is being held at the Balanga City Police Station and faces formal charges of violating the Comprehensive Dangerous Drugs Act. INQ Subscribe to our daily newsletter By providing an email address. I agree to the Terms of Use and acknowledge that I have read the Privacy Policy .",https://newsinfo.inquirer.net/2056431/student-caught-with-p1-7m-worth-of-shabu-in-bataan
Fire destroys 7 houses in Cavite town,"LUCENA CITY, Philippines A fire of still unknown origin destroyed seven houses Sunday in Rosario town, Cavite province, police said. The Police Regional Office 4A said Monday that the blaze broke out shortly after noon along Talisay Street in Barangay Ligtong 1. Firefighters extinguished the flames by 2:50 p.m., but not before the fire had razed seven houses made of light materials. The Philippine Red Cross reported that at least nine families, or 35 individuals, were displaced. They were temporarily housed at the barangay hall and assisted by local social workers. The PRC also said four residents suffered minor injuries, including lacerations and abrasions, and were treated on site. Police said the cause of the fire and the total property damage were still under investigation. INQ Subscribe to our daily newsletter By providing an email address. I agree to the Terms of Use and acknowledge that I have read the Privacy Policy .",https://newsinfo.inquirer.net/2056433/fire-destroys-7-houses-in-cavite-town
Supreme Court decision to reverse ruling on commercial fishing sought,"MANILA, PhilippinesOne of the framers of the 1987 Constitution, a church leader, and environmental advocate on Thursday asked the Supreme Court to reverse a lower courts ruling allowing commercial fishingwithin 15-kilometer municipal waters, which are exclusively reserved for small-scale fishers under the countrys laws. Allowing commercial vessels to operate within municipal waters jeopardizes the livelihoods of thousands of subsistence fishers and accelerates the depletion of already fragile fish stocks, said the petitioners led by Atty. Christian Monsod, one of the framers of the 1987 Constitution, Cardinal Pablo Virgilio David, and Atty. Grizelda Mayo-Anda, a veteran environmental lawyer and advocate for coastal communities. The petition named Mercidar Fishing Corporation, Judge Zaldy Docena, the Department of AgricultureBureau of Fisheries and Aquatic Resources, and the Office of the Solicitor General as respondents. In their 31-page petition, they specifically sought reversal of the December 11, 2023 decision issued by the Regional Trial Court of Malabon City granting the petition filed by Mercidar Fishing Corporation to declare as unconstitutional Section 4 , Section 16, Section 1 and Section 18, Rule 181 of the Department of Agriculture Order No. 10 issued in 2015 as well as Section 4 , Section 16, and Section 18 of Republic Act 8550 or The Philippine Fisheries Code of 1998. The Malabon Court struck down local government jurisdiction over municipal waters and the laws mandate to give preferential access to small-scale fisherseffectively erasing what the petitioners describe as wholesale constitutional and statutory protections for coastal communities. READ: Romualdez vows to help challenge ruling on commercial fishing in municipal waters Petitioners said the trial courts decision threatens the constitutional rights of small-scale fishers and puts the countrys marine ecosystems at risk. Three grounds were specifically raised by petitioners: the failure of the DA-Bureau of Fisheries and Aquatic Resources and the Office of the Solicitor General to discharge the public trust for the welfare of the people Malabon RTC Presiding Judge Zaldy Docena violated the doctrine o separation of powers, and failure of the respondent Mercidar Fishing Corporation to implead indispensable partices which rendered all proceedings and orders before the Malabon RTC branch 170 void. Petitioners said BFAR and the OSGmade a sluggish defense of the Fisheries Code that contributed to the RTC rulings far-reaching consequences. READ: DA appeals SC rule allowing commercial fishing in municipal waters As public service providers, the lackadaisical defense of the Public Respondents DA-BFAR and OSG of their mandates leave much to be desired, and the petitioners are now constrained to directly defend their own interests as Filipinos, concerned citizens, and stewards of nature, on behalf of the Filipino people, the petitioners said. The petitioners also branded the RTC ruling as ajudicial legislation and a gross violation of the constitutional separation of powers. As can be gleaned from the inordinate haste of the proceedings below, his procedural lapses, and his questionable conclusions, it is clear that Public Respondent Judge Zaldy Docena refused to extend any measure of deference to either Congress or the Executive, the petitioners stressed. Despite this, BFAR and several local governments have sought further legal remedies, citing the cases unresolved environmental and constitutional implications. The petitioners expressed hope that the Court will uphold constitutional principles, protect marine ecosystems, and reaffirm the rights of small-scale fishers. Subscribe to our daily newsletter By providing an email address. I agree to the Terms of Use and acknowledge that I have read the Privacy Policy . This is not only a legal issue, said the petitioners, but a matter of social justice, sustainability, and the future of our coastal communities.",https://newsinfo.inquirer.net/2055585/supreme-court-decision-to-reverse-ruling-on-commercial-fishing-sought
